DATE,SWAT,WELLMODEL,CONBPRES,PRESSURE,CONJPOS,CONIPOS,SGAS,DEPTH,CONIDX,DRAWDOWN,WELL,CONKPOS
2018-01-01,1.0,STANDARD,307.0073547363281,307.0073547363281,42,17,0.0,1718.27783203125,14,0,R_A6,14
2018-01-01,1.0,STANDARD,307.22686767578125,307.22686767578125,42,17,0.0,1720.5938720703125,15,0,R_A6,15
2018-01-01,1.0,STANDARD,307.59136962890625,307.59136962890625,42,17,0.0,1722.909912109375,16,0,R_A6,16
2018-01-01,1.0,STANDARD,307.8108825683594,307.8108825683594,42,17,0.0,1725.225830078125,17,0,R_A6,17
2018-01-01,1.0,STANDARD,307.9577331542969,307.9577331542969,42,17,0.0,1726.775390625,18,0,R_A6,18
2018-01-01,1.0,STANDARD,307.91961669921875,307.91961669921875,42,17,0.0,1728.0306396484375,19,0,R_A6,26
2018-01-01,1.0,STANDARD,308.3891296386719,308.3891296386719,42,17,0.0,1729.758056640625,20,0,R_A6,27
2018-01-01,1.0,STANDARD,308.5528259277344,308.5528259277344,42,17,0.0,1731.4853515625,21,0,R_A6,28
2018-01-01,1.0,STANDARD,308.716552734375,308.716552734375,42,17,0.0,1733.212646484375,22,0,R_A6,29
2018-01-01,1.0,STANDARD,308.5744934082031,308.5744934082031,42,17,0.0,1734.93994140625,23,0,R_A6,30
2018-03-01,0.05462199077010155,STANDARD,298.4895324707031,298.4895324707031,30,22,0.0,1643.189453125,1,0,R_A2,1
2018-03-01,0.05636734142899513,STANDARD,298.6100769042969,298.6100769042969,30,22,0.0,1644.98828125,2,0,R_A2,2
2018-03-01,0.06101584807038307,STANDARD,298.7306213378906,298.7306213378906,30,22,0.0,1646.787109375,3,0,R_A2,3
2018-03-01,0.06663665920495987,STANDARD,298.8511657714844,298.8511657714844,30,22,0.0,1648.5858154296875,4,0,R_A2,4
2018-03-01,0.0703793466091156,STANDARD,298.97174072265625,298.97174072265625,30,22,0.0,1650.3846435546875,5,0,R_A2,5
2018-03-01,0.32566726207733154,STANDARD,299.0924987792969,299.0924987792969,30,22,0.0,1652.183349609375,6,0,R_A2,6
2018-03-01,0.885759711265564,STANDARD,299.2210693359375,299.2210693359375,30,22,0.0,1653.982177734375,7,0,R_A2,7
2018-03-01,0.8694197535514832,STANDARD,299.3470153808594,299.3470153808594,30,22,0.0,1655.7808837890625,8,0,R_A2,8
2018-03-01,0.8981928825378418,STANDARD,299.7363586425781,299.7363586425781,30,22,0.0,1657.5797119140625,9,0,R_A2,9
2018-03-01,0.9053815007209778,STANDARD,300.11590576171875,300.11590576171875,30,22,0.0,1659.37841796875,10,0,R_A2,10
2018-03-01,0.07561758905649185,STANDARD,299.6398620605469,299.6398620605469,30,22,0.0,1661.294189453125,11,0,R_A2,11
2018-03-01,0.07504743337631226,STANDARD,299.79815673828125,299.79815673828125,30,22,0.0,1663.3271484375,12,0,R_A2,12
2018-03-01,0.43946194648742676,STANDARD,299.9591369628906,299.9591369628906,30,22,0.0,1665.3599853515625,13,0,R_A2,13
2018-03-01,0.49233385920524597,STANDARD,300.0982971191406,300.0982971191406,30,22,0.0,1667.392822265625,14,0,R_A2,14
2018-03-01,0.7119296193122864,STANDARD,300.2391357421875,300.2391357421875,30,22,0.0,1669.4256591796875,15,0,R_A2,15
2018-03-01,0.9540959000587463,STANDARD,300.3783264160156,300.3783264160156,30,22,0.0,1671.45849609375,16,0,R_A2,16
2018-03-01,0.9322406649589539,STANDARD,300.515380859375,300.515380859375,30,22,0.0,1673.491455078125,17,0,R_A2,17
2018-03-01,0.9099895358085632,STANDARD,300.3086853027344,300.3086853027344,29,22,0.0,1671.9827880859375,18,0,R_A2,17
2018-03-01,0.955640971660614,STANDARD,300.44091796875,300.44091796875,29,22,0.0,1673.960693359375,19,0,R_A2,18
2018-03-01,1.0,STANDARD,303.0666198730469,303.0666198730469,29,22,-4.83258355207794e-12,1675.9803466796875,20,0,R_A2,26
2018-03-01,1.0,STANDARD,303.1619567871094,303.1619567871094,29,22,-3.056462697750861e-15,1677.7547607421875,21,0,R_A2,27
2018-03-01,1.0,STANDARD,303.18377685546875,303.18377685546875,29,22,-2.027257527497631e-15,1679.529052734375,22,0,R_A2,28
2018-03-01,1.0,STANDARD,303.3420104980469,303.3420104980469,29,22,-1.6734620298248766e-15,1681.303466796875,23,0,R_A2,29
2018-03-01,1.0,STANDARD,302.8236083984375,302.8236083984375,29,22,-1.7554868962568054e-13,1683.0777587890625,24,0,R_A2,30
2018-04-28,1.0,STANDARD,278.0667419433594,278.0667419433594,20,31,-1.9145763726716474e-21,1686.4013671875,1,0,R_A5,1
2018-04-28,1.0,STANDARD,278.2882080078125,278.2882080078125,20,31,-9.767111892575807e-19,1688.7388916015625,2,0,R_A5,2
2018-04-28,1.0,STANDARD,278.509521484375,278.509521484375,20,31,-1.2664664573778888e-18,1691.0765380859375,3,0,R_A5,3
2018-04-28,1.0,STANDARD,278.73077392578125,278.73077392578125,20,31,-1.293342899648232e-18,1693.4141845703125,4,0,R_A5,4
2018-04-28,1.0,STANDARD,278.9520263671875,278.9520263671875,20,31,-8.894836494953686e-19,1695.751708984375,5,0,R_A5,5
2018-04-28,1.0,STANDARD,279.1732177734375,279.1732177734375,20,31,-7.338626841122553e-20,1698.08935546875,6,0,R_A5,6
2018-04-28,1.0,STANDARD,279.7146301269531,279.7146301269531,20,31,-1.6761113900135117e-20,1700.4268798828125,7,0,R_A5,7
2018-04-28,1.0,STANDARD,278.0091552734375,278.0091552734375,21,31,-8.898624614950279e-10,1698.279296875,8,0,R_A5,11
2018-04-28,0.9999999403953552,STANDARD,278.1946105957031,278.1946105957031,21,31,-1.3400649478967352e-09,1700.215576171875,9,0,R_A5,12
2018-04-28,1.0,STANDARD,278.46881103515625,278.46881103515625,21,31,-1.9082165014783214e-10,1702.1517333984375,10,0,R_A5,13
2018-04-28,1.0,STANDARD,278.7409362792969,278.7409362792969,21,31,-7.028965187672043e-10,1704.087890625,11,0,R_A5,14
2018-04-28,1.0,STANDARD,278.9429931640625,278.9429931640625,21,31,-1.690279444188647e-10,1706.024169921875,12,0,R_A5,15
2018-04-28,1.0,STANDARD,279.31134033203125,279.31134033203125,21,31,-1.772280378009583e-10,1707.9603271484375,13,0,R_A5,16
2018-04-28,1.0,STANDARD,279.5187683105469,279.5187683105469,21,31,-1.953708202162563e-11,1709.8966064453125,14,0,R_A5,17
2018-04-28,1.0,STANDARD,279.7002868652344,279.7002868652344,21,31,-3.775550184992316e-12,1711.6312255859375,15,0,R_A5,18
2018-04-28,1.0,STANDARD,279.82659912109375,279.82659912109375,21,31,-2.120926177739957e-11,1712.88330078125,16,0,R_A5,19
