SGAS,CONBPRES,WELL,PRESSURE,CONIPOS,DEPTH,CONJPOS,DRAWDOWN,DATE,WELLMODEL,CONKPOS,SWAT,CONIDX
0.0,304.27630615234375,R_A5,304.27630615234375,31,1689.5875244140625,20,0,2018-01-01,STANDARD,3,1.0,3
0.0,304.4924011230469,R_A5,304.4924011230469,31,1691.8680419921875,20,0,2018-01-01,STANDARD,4,1.0,4
0.0,304.7085266113281,R_A5,304.7085266113281,31,1694.1485595703125,20,0,2018-01-01,STANDARD,5,1.0,5
0.0,304.9246520996094,R_A5,304.9246520996094,31,1696.4290771484375,20,0,2018-01-01,STANDARD,6,1.0,6
0.0,305.446533203125,R_A5,305.446533203125,31,1698.70947265625,20,0,2018-01-01,STANDARD,7,1.0,7
0.0,305.988037109375,R_A5,305.988037109375,31,1707.6488037109375,20,0,2018-01-01,STANDARD,11,1.0,8
0.0,306.1695251464844,R_A5,306.1695251464844,31,1709.5638427734375,20,0,2018-01-01,STANDARD,12,1.0,9
0.0,305.4322814941406,R_A5,305.4322814941406,31,1701.7845458984375,21,0,2018-01-01,STANDARD,12,1.0,10
0.0,305.6291198730469,R_A5,305.6291198730469,31,1703.735107421875,21,0,2018-01-01,STANDARD,13,1.0,11
0.0,305.81396484375,R_A5,305.81396484375,31,1705.6856689453125,21,0,2018-01-01,STANDARD,14,1.0,12
0.0,305.9988098144531,R_A5,305.9988098144531,31,1707.63623046875,21,0,2018-01-01,STANDARD,15,1.0,13
0.0,306.3287048339844,R_A5,306.3287048339844,31,1709.5867919921875,21,0,2018-01-01,STANDARD,16,1.0,14
0.0,306.5135498046875,R_A5,306.5135498046875,31,1711.537353515625,21,0,2018-01-01,STANDARD,17,1.0,15
0.0,306.6856994628906,R_A5,306.6856994628906,31,1713.35400390625,21,0,2018-01-01,STANDARD,18,1.0,16
0.0,306.7843933105469,R_A5,306.7843933105469,31,1714.3951416015625,21,0,2018-01-01,STANDARD,19,1.0,17
0.0,306.75689697265625,R_A5,306.75689697265625,31,1715.7628173828125,21,0,2018-01-01,STANDARD,27,1.0,18
0.0,306.978271484375,R_A5,306.978271484375,31,1718.098388671875,21,0,2018-01-01,STANDARD,28,1.0,19
0.0,307.5054016113281,R_A5,307.5054016113281,31,1720.43408203125,21,0,2018-01-01,STANDARD,29,1.0,20
0.0,307.7267761230469,R_A5,307.7267761230469,31,1722.7696533203125,21,0,2018-01-01,STANDARD,30,1.0,21
0.0,307.9481506347656,R_A5,307.9481506347656,31,1725.105224609375,21,0,2018-01-01,STANDARD,31,1.0,22
0.0,305.11419677734375,R_A6,305.11419677734375,17,1695.20263671875,42,0,2018-01-01,STANDARD,1,1.0,1
0.0,305.2609558105469,R_A6,305.2609558105469,17,1696.7510986328125,42,0,2018-01-01,STANDARD,2,1.0,2
0.0,305.4076843261719,R_A6,305.4076843261719,17,1698.299560546875,42,0,2018-01-01,STANDARD,3,1.0,3
0.0,305.554443359375,R_A6,305.554443359375,17,1699.84814453125,42,0,2018-01-01,STANDARD,4,1.0,4
0.0,305.7012023925781,R_A6,305.7012023925781,17,1701.3966064453125,42,0,2018-01-01,STANDARD,5,1.0,5
0.0,305.84796142578125,R_A6,305.84796142578125,17,1702.9451904296875,42,0,2018-01-01,STANDARD,6,1.0,6
0.0,305.6956481933594,R_A6,305.6956481933594,17,1704.49365234375,42,0,2018-01-01,STANDARD,7,1.0,7
0.0,305.8424072265625,R_A6,305.8424072265625,17,1706.042236328125,42,0,2018-01-01,STANDARD,8,1.0,8
0.0,306.2882080078125,R_A6,306.2882080078125,17,1707.5906982421875,42,0,2018-01-01,STANDARD,9,1.0,9
0.0,306.1291809082031,R_A6,306.1291809082031,17,1709.1392822265625,42,0,2018-01-01,STANDARD,10,1.0,10
0.0,306.3109130859375,R_A6,306.3109130859375,17,1711.055419921875,42,0,2018-01-01,STANDARD,11,1.0,11
0.0,306.52734375,R_A6,306.52734375,17,1713.3392333984375,42,0,2018-01-01,STANDARD,12,1.0,12
0.0,306.7557678222656,R_A6,306.7557678222656,17,1715.623046875,42,0,2018-01-01,STANDARD,13,1.0,13
0.0,306.9721984863281,R_A6,306.9721984863281,17,1717.9068603515625,42,0,2018-01-01,STANDARD,14,1.0,14
0.0,307.18865966796875,R_A6,307.18865966796875,17,1720.190673828125,42,0,2018-01-01,STANDARD,15,1.0,15
0.0,307.55010986328125,R_A6,307.55010986328125,17,1722.474365234375,42,0,2018-01-01,STANDARD,16,1.0,16
0.0,307.7665710449219,R_A6,307.7665710449219,17,1724.7581787109375,42,0,2018-01-01,STANDARD,17,1.0,17
0.0,307.921630859375,R_A6,307.921630859375,17,1726.394287109375,42,0,2018-01-01,STANDARD,18,1.0,18
0.0,307.8930969238281,R_A6,307.8930969238281,17,1727.7508544921875,42,0,2018-01-01,STANDARD,27,1.0,19
0.0,308.3623352050781,R_A6,308.3623352050781,17,1729.4755859375,42,0,2018-01-01,STANDARD,28,1.0,20
0.0,308.52581787109375,R_A6,308.52581787109375,17,1731.2001953125,42,0,2018-01-01,STANDARD,29,1.0,21
0.0,308.68927001953125,R_A6,308.68927001953125,17,1732.9249267578125,42,0,2018-01-01,STANDARD,30,1.0,22
0.0,308.5469665527344,R_A6,308.5469665527344,17,1734.649658203125,42,0,2018-01-01,STANDARD,31,1.0,23
0.0,298.1225280761719,R_A2,298.1225280761719,22,1641.094970703125,30,0,2018-03-01,STANDARD,1,0.055906448513269424,1
0.0,298.2427673339844,R_A2,298.2427673339844,22,1642.8890380859375,30,0,2018-03-01,STANDARD,2,0.05798051133751869,2
0.0,298.3630065917969,R_A2,298.3630065917969,22,1644.68310546875,30,0,2018-03-01,STANDARD,3,0.06067059934139252,3
0.0,298.4833068847656,R_A2,298.4833068847656,22,1646.4771728515625,30,0,2018-03-01,STANDARD,4,0.0678459033370018,4
0.0,298.6036376953125,R_A2,298.6036376953125,22,1648.2713623046875,30,0,2018-03-01,STANDARD,5,0.07155608385801315,5
0.0,298.72406005859375,R_A2,298.72406005859375,22,1650.0654296875,30,0,2018-03-01,STANDARD,6,0.14333626627922058,6
0.0,298.8446350097656,R_A2,298.8446350097656,22,1651.859619140625,30,0,2018-03-01,STANDARD,7,0.2599136531352997,7
0.0,298.977294921875,R_A2,298.977294921875,22,1653.6536865234375,30,0,2018-03-01,STANDARD,8,0.6483373641967773,8
0.0,299.1052551269531,R_A2,299.1052551269531,22,1655.44775390625,30,0,2018-03-01,STANDARD,9,0.6485733985900879,9
0.0,299.88427734375,R_A2,299.88427734375,22,1657.2418212890625,30,0,2018-03-01,STANDARD,10,0.9129742980003357,10
0.0,300.5245361328125,R_A2,300.5245361328125,22,1659.1368408203125,30,0,2018-03-01,STANDARD,11,0.07878425717353821,11
0.0,300.9332275390625,R_A2,300.9332275390625,22,1661.132568359375,30,0,2018-03-01,STANDARD,12,0.08624990284442902,12
0.0,301.0302429199219,R_A2,301.0302429199219,22,1663.12841796875,30,0,2018-03-01,STANDARD,13,0.4577856659889221,13
0.0,301.158935546875,R_A2,301.158935546875,22,1665.1241455078125,30,0,2018-03-01,STANDARD,14,0.5199226140975952,14
0.0,301.2917175292969,R_A2,301.2917175292969,22,1667.1199951171875,30,0,2018-03-01,STANDARD,15,0.6916846036911011,15
0.0,301.4223327636719,R_A2,301.4223327636719,22,1669.11572265625,30,0,2018-03-01,STANDARD,16,0.9726941585540771,16
0.0,301.5554504394531,R_A2,301.5554504394531,22,1671.111572265625,30,0,2018-03-01,STANDARD,17,0.949397087097168,17
0.0,301.6811218261719,R_A2,301.6811218261719,22,1672.9881591796875,30,0,2018-03-01,STANDARD,18,0.9820560216903687,18
0.0,301.4696350097656,R_A2,301.4696350097656,22,1674.229736328125,29,0,2018-03-01,STANDARD,18,0.9921707510948181,19
0.0,301.6052551269531,R_A2,301.6052551269531,22,1676.1676025390625,29,0,2018-03-01,STANDARD,27,0.4962003231048584,20
0.0,301.8398742675781,R_A2,301.8398742675781,22,1677.9368896484375,29,0,2018-03-01,STANDARD,28,0.9991693496704102,21
3.795954869878493e-11,302.1947937011719,R_A2,302.1947937011719,22,1679.7061767578125,29,0,2018-03-01,STANDARD,29,1.0,22
