CONKPOS,CONIPOS,WELL,CONBPRES,CONIDX,DEPTH,CONJPOS,WELLMODEL,PRESSURE,DATE,SGAS,DRAWDOWN,SWAT
28,31,R_A5,278.5621337890625,19,1718.098388671875,21,STANDARD,278.5621337890625,2018-04-28,-2.1580205341893005e-13,0,1.0
29,31,R_A5,279.1266174316406,20,1720.43408203125,21,STANDARD,279.1266174316406,2018-04-28,-9.065207783793936e-19,0,1.0
30,31,R_A5,283.41058349609375,21,1722.7696533203125,21,STANDARD,283.41058349609375,2018-04-28,-4.019029192005194e-16,0,1.0
31,31,R_A5,298.57305908203125,22,1725.105224609375,21,STANDARD,298.57305908203125,2018-04-28,-6.7593762496206065e-21,0,1.0
1,28,R_A3,280.2615966796875,1,1609.243408203125,41,STANDARD,280.2615966796875,2018-07-03,0.0,0,0.650007963180542
2,28,R_A3,280.4040222167969,2,1611.3077392578125,41,STANDARD,280.4040222167969,2018-07-03,0.0,0,0.22694356739521027
3,28,R_A3,280.5419006347656,3,1613.3720703125,41,STANDARD,280.5419006347656,2018-07-03,0.0,0,0.1960340142250061
4,28,R_A3,280.71832275390625,4,1615.4365234375,41,STANDARD,280.71832275390625,2018-07-03,0.0,0,0.3786383867263794
5,28,R_A3,281.103515625,5,1617.5008544921875,41,STANDARD,281.103515625,2018-07-03,0.0,0,0.8138257265090942
6,28,R_A3,281.26483154296875,6,1619.565185546875,41,STANDARD,281.26483154296875,2018-07-03,0.0,0,0.22449401021003723
6,29,R_A3,280.55767822265625,7,1609.3663330078125,41,STANDARD,280.55767822265625,2018-07-03,0.0,0,0.2633107602596283
7,29,R_A3,280.6947326660156,8,1611.4163818359375,41,STANDARD,280.6947326660156,2018-07-03,0.0,0,0.19521726667881012
8,29,R_A3,280.8349914550781,9,1613.46630859375,41,STANDARD,280.8349914550781,2018-07-03,0.0,0,0.3789784610271454
9,29,R_A3,281.0447998046875,10,1615.516357421875,41,STANDARD,281.0447998046875,2018-07-03,0.0,0,0.7959126830101013
10,29,R_A3,283.1188659667969,11,1617.5662841796875,41,STANDARD,283.1188659667969,2018-07-03,0.0,0,0.7930029034614563
11,29,R_A3,283.4115295410156,12,1619.750732421875,41,STANDARD,283.4115295410156,2018-07-03,0.0,0,0.047843046486377716
12,29,R_A3,283.5663757324219,13,1622.0697021484375,41,STANDARD,283.5663757324219,2018-07-03,0.0,0,0.05298081040382385
13,29,R_A3,283.72222900390625,14,1624.388671875,41,STANDARD,283.72222900390625,2018-07-03,0.0,0,0.36526918411254883
14,29,R_A3,283.8783264160156,15,1626.707763671875,41,STANDARD,283.8783264160156,2018-07-03,0.0,0,0.363483726978302
15,29,R_A3,284.04107666015625,16,1629.026611328125,41,STANDARD,284.04107666015625,2018-07-03,0.0,0,0.43710383772850037
16,29,R_A3,284.19781494140625,17,1630.9468994140625,41,STANDARD,284.19781494140625,2018-07-03,0.0,0,0.8033561110496521
27,29,R_A3,284.0427551269531,18,1633.5262451171875,41,STANDARD,284.0427551269531,2018-07-03,0.0,0,0.37809890508651733
28,29,R_A3,284.254638671875,19,1637.1630859375,41,STANDARD,284.254638671875,2018-07-03,0.0,0,0.044222451746463776
29,29,R_A3,284.49749755859375,20,1640.8001708984375,41,STANDARD,284.49749755859375,2018-07-03,0.0,0,0.048752814531326294
30,29,R_A3,284.7510070800781,21,1644.4371337890625,41,STANDARD,284.7510070800781,2018-07-03,0.0,0,0.6495369672775269
31,29,R_A3,284.9928283691406,22,1648.0740966796875,41,STANDARD,284.9928283691406,2018-07-03,0.0,0,0.05969754233956337
1,30,R_A4,278.189453125,1,1631.1873779296875,52,STANDARD,278.189453125,2018-09-12,0.0,0,0.05022485554218292
1,31,R_A4,278.05194091796875,2,1627.4293212890625,52,STANDARD,278.05194091796875,2018-09-12,0.0,0,0.04737761616706848
2,31,R_A4,278.18927001953125,3,1629.4896240234375,52,STANDARD,278.18927001953125,2018-09-12,0.0,0,0.050807081162929535
3,31,R_A4,278.3265686035156,4,1631.5498046875,52,STANDARD,278.3265686035156,2018-09-12,0.0,0,0.05277343839406967
4,31,R_A4,278.4638671875,5,1633.610107421875,52,STANDARD,278.4638671875,2018-09-12,0.0,0,0.055638622492551804
4,32,R_A4,278.49371337890625,6,1632.3968505859375,52,STANDARD,278.49371337890625,2018-09-12,0.0,0,0.05475355684757233
4,32,R_A4,278.5783386230469,7,1635.880615234375,51,STANDARD,278.5783386230469,2018-09-12,0.0,0,0.057193294167518616
