CONIPOS,DRAWDOWN,CONKPOS,CONIDX,PRESSURE,WELL,CONJPOS,DEPTH,DATE,SGAS,WELLMODEL,SWAT,CONBPRES
31,0,14,11,276.6277160644531,R_A5,21,1707.9727783203125,2018-04-28,-4.211405529863654e-12,STANDARD,1.0,276.6277160644531
31,0,15,12,276.817626953125,R_A5,21,1709.945068359375,2018-04-28,-2.0171321210571413e-12,STANDARD,1.0,276.817626953125
31,0,16,13,277.1683654785156,R_A5,21,1711.9171142578125,2018-04-28,-7.654425053862934e-13,STANDARD,1.0,277.1683654785156
31,0,17,14,277.37542724609375,R_A5,21,1713.8892822265625,2018-04-28,-1.3407772071413748e-12,STANDARD,1.0,277.37542724609375
31,0,18,15,277.5211181640625,R_A5,21,1715.392822265625,2018-04-28,-3.078802403994052e-12,STANDARD,1.0,277.5211181640625
31,0,26,16,275.14306640625,R_A5,21,1717.0526123046875,2018-04-28,-5.3310043879317703e-11,STANDARD,1.0,275.14306640625
31,0,27,17,275.34698486328125,R_A5,21,1719.33740234375,2018-04-28,-6.161766930024015e-11,STANDARD,1.0,275.34698486328125
31,0,28,18,277.49871826171875,R_A5,21,1721.622314453125,2018-04-28,-2.5237710622911402e-17,STANDARD,1.0,277.49871826171875
31,0,29,19,278.26263427734375,R_A5,21,1723.9072265625,2018-04-28,-2.69282312213146e-17,STANDARD,1.0,278.26263427734375
31,0,30,20,296.1924133300781,R_A5,21,1726.1920166015625,2018-04-28,-9.757012017296535e-19,STANDARD,1.0,296.1924133300781
28,0,1,1,284.68255615234375,R_A3,41,1612.3671875,2018-07-03,0.0,STANDARD,0.6490410566329956,284.68255615234375
28,0,2,2,284.82452392578125,R_A3,41,1614.4285888671875,2018-07-03,0.0,STANDARD,0.1357419639825821,284.82452392578125
28,0,3,3,284.96221923828125,R_A3,41,1616.4901123046875,2018-07-03,0.0,STANDARD,0.12034568190574646,284.96221923828125
28,0,4,4,285.099853515625,R_A3,41,1618.551513671875,2018-07-03,0.0,STANDARD,0.18891139328479767,285.099853515625
28,0,5,5,285.6611633300781,R_A3,41,1620.613037109375,2018-07-03,0.0,STANDARD,0.8222929239273071,285.6611633300781
29,0,5,6,284.57098388671875,R_A3,41,1605.725341796875,2018-07-03,0.0,STANDARD,0.7979929447174072,284.57098388671875
29,0,6,7,284.7687683105469,R_A3,41,1607.86279296875,2018-07-03,0.0,STANDARD,0.6490476131439209,284.7687683105469
29,0,7,8,284.9389343261719,R_A3,41,1610.000244140625,2018-07-03,0.0,STANDARD,0.23993903398513794,284.9389343261719
29,0,8,9,285.0816955566406,R_A3,41,1612.1376953125,2018-07-03,0.0,STANDARD,0.20184248685836792,285.0816955566406
29,0,9,10,285.23260498046875,R_A3,41,1614.275146484375,2018-07-03,0.0,STANDARD,0.6490222215652466,285.23260498046875
29,0,10,11,285.3976135253906,R_A3,41,1616.41259765625,2018-07-03,0.0,STANDARD,0.6492661237716675,285.3976135253906
29,0,11,12,285.5593566894531,R_A3,41,1618.628173828125,2018-07-03,0.0,STANDARD,0.047080036252737045,285.5593566894531
29,0,12,13,285.71258544921875,R_A3,41,1620.921630859375,2018-07-03,0.0,STANDARD,0.0546325221657753,285.71258544921875
29,0,13,14,285.86639404296875,R_A3,41,1623.2152099609375,2018-07-03,0.0,STANDARD,0.3721376657485962,285.86639404296875
29,0,15,15,286.47216796875,R_A3,41,1627.7545166015625,2018-07-03,0.0,STANDARD,0.35458189249038696,286.47216796875
29,0,16,16,286.6224670410156,R_A3,41,1629.600341796875,2018-07-03,0.0,STANDARD,0.80614173412323,286.6224670410156
29,0,17,17,286.68804931640625,R_A3,41,1630.566650390625,2018-07-03,0.0,STANDARD,0.7839537858963013,286.68804931640625
29,0,26,18,287.35455322265625,R_A3,41,1632.676025390625,2018-07-03,0.0,STANDARD,0.9999960064888,287.35455322265625
29,0,27,19,282.3358459472656,R_A3,41,1636.4561767578125,2018-07-03,0.0,STANDARD,0.04637479782104492,282.3358459472656
29,0,28,20,282.5881042480469,R_A3,41,1640.236328125,2018-07-03,0.0,STANDARD,0.08741099387407303,282.5881042480469
