WELLMODEL,CONIPOS,CONBPRES,PRESSURE,DRAWDOWN,WELL,CONKPOS,DATE,CONJPOS,SGAS,CONIDX,DEPTH,SWAT
STANDARD,22,300.430419921875,300.430419921875,0,R_A2,15,2018-03-01,30,0.0,15,1667.1199951171875,0.69779372215271
STANDARD,22,300.5646057128906,300.5646057128906,0,R_A2,16,2018-03-01,30,0.0,16,1669.11572265625,0.9701835513114929
STANDARD,22,300.6988830566406,300.6988830566406,0,R_A2,17,2018-03-01,30,0.0,17,1671.111572265625,0.9522997140884399
STANDARD,22,300.82489013671875,300.82489013671875,0,R_A2,18,2018-03-01,30,0.0,18,1672.9881591796875,0.9832426905632019
STANDARD,22,300.7735290527344,300.7735290527344,0,R_A2,18,2018-03-01,29,0.0,19,1674.229736328125,0.9928646087646484
STANDARD,22,300.7813415527344,300.7813415527344,0,R_A2,27,2018-03-01,29,0.0,20,1676.1676025390625,0.6483132243156433
STANDARD,22,303.4608459472656,303.4608459472656,0,R_A2,28,2018-03-01,29,-5.364451931440511e-15,21,1677.9368896484375,1.0
STANDARD,22,303.63104248046875,303.63104248046875,0,R_A2,29,2018-03-01,29,-1.1332420978788578e-15,22,1679.7061767578125,1.0
STANDARD,22,303.798828125,303.798828125,0,R_A2,30,2018-03-01,29,-4.580376984391932e-17,23,1681.4754638671875,1.0
STANDARD,22,303.9716491699219,303.9716491699219,0,R_A2,31,2018-03-01,29,-2.3995095091315867e-18,24,1683.2447509765625,1.0
STANDARD,31,271.9674987792969,271.9674987792969,0,R_A5,1,2018-04-28,20,-7.484340431478456e-14,1,1685.026611328125,1.0
STANDARD,31,272.18359375,272.18359375,0,R_A5,2,2018-04-28,20,-1.311633906955073e-13,2,1687.3070068359375,1.0
STANDARD,31,272.3998107910156,272.3998107910156,0,R_A5,3,2018-04-28,20,-1.4982639965927663e-13,3,1689.5875244140625,1.0
STANDARD,31,272.61602783203125,272.61602783203125,0,R_A5,4,2018-04-28,20,-1.4831103738784795e-13,4,1691.8680419921875,1.0
STANDARD,31,272.8321228027344,272.8321228027344,0,R_A5,5,2018-04-28,20,-1.4421957009701225e-13,5,1694.1485595703125,1.0
STANDARD,31,273.0480651855469,273.0480651855469,0,R_A5,6,2018-04-28,20,-1.1873103411899621e-13,6,1696.4290771484375,1.0
STANDARD,31,273.5905456542969,273.5905456542969,0,R_A5,7,2018-04-28,20,-4.3402642455536364e-14,7,1698.70947265625,1.0
STANDARD,31,273.6444091796875,273.6444091796875,0,R_A5,11,2018-04-28,20,-2.979075970285794e-12,8,1707.6488037109375,1.0
STANDARD,31,273.82562255859375,273.82562255859375,0,R_A5,12,2018-04-28,20,-2.8936052772626786e-12,9,1709.5638427734375,1.0
STANDARD,31,272.34759521484375,272.34759521484375,0,R_A5,12,2018-04-28,21,-4.616300050552802e-11,10,1701.7845458984375,1.0
STANDARD,31,272.5448913574219,272.5448913574219,0,R_A5,13,2018-04-28,21,-1.537627989343926e-12,11,1703.735107421875,1.0
