DRAWDOWN,WELL,CONKPOS,CONJPOS,SGAS,DATE,WELLMODEL,PRESSURE,CONIDX,SWAT,CONIPOS,CONBPRES,DEPTH
0,R_A5,30,21,-5.606272983439193e-26,2018-04-28,STANDARD,306.7471923828125,22,1.0,31,306.7471923828125,1724.5
0,R_A3,1,41,0.0,2018-07-03,STANDARD,269.22393798828125,1,0.2604592740535736,28,269.22393798828125,1608.652587890625
0,R_A3,2,41,0.0,2018-07-03,STANDARD,269.3600769042969,2,0.1913193017244339,28,269.3600769042969,1610.701171875
0,R_A3,3,41,0.0,2018-07-03,STANDARD,269.4963073730469,3,0.11344486474990845,28,269.4963073730469,1612.749755859375
0,R_A3,4,41,0.0,2018-07-03,STANDARD,269.6325988769531,4,0.08139874041080475,28,269.6325988769531,1614.79833984375
0,R_A3,4,41,0.0,2018-07-03,STANDARD,269.0693054199219,5,0.13695447146892548,29,269.0693054199219,1606.356689453125
0,R_A3,5,41,0.0,2018-07-03,STANDARD,269.36871337890625,6,0.8026444315910339,29,269.36871337890625,1608.413818359375
0,R_A3,6,41,0.0,2018-07-03,STANDARD,269.4425048828125,7,0.33170023560523987,29,269.4425048828125,1610.4708251953125
0,R_A3,7,41,0.0,2018-07-03,STANDARD,269.5794372558594,8,0.19628266990184784,29,269.5794372558594,1612.5279541015625
0,R_A3,8,41,0.0,2018-07-03,STANDARD,269.71630859375,9,0.19730202853679657,29,269.71630859375,1614.5849609375
0,R_A3,9,41,0.0,2018-07-03,STANDARD,270.0235290527344,10,0.793471097946167,29,270.0235290527344,1616.641845703125
0,R_A3,10,41,0.0,2018-07-03,STANDARD,275.32861328125,11,0.7853823304176331,29,275.32861328125,1618.698974609375
0,R_A3,11,41,0.0,2018-07-03,STANDARD,294.0579528808594,12,0.047504350543022156,29,294.0579528808594,1620.857666015625
0,R_A3,12,41,0.0,2018-07-03,STANDARD,294.20928955078125,13,0.052399132400751114,29,294.20928955078125,1623.1182861328125
0,R_A3,13,41,0.0,2018-07-03,STANDARD,294.3614196777344,14,0.3666556775569916,29,294.3614196777344,1625.37890625
0,R_A3,14,41,0.0,2018-07-03,STANDARD,294.5151672363281,15,0.38520121574401855,29,294.5151672363281,1627.6395263671875
0,R_A3,15,41,0.0,2018-07-03,STANDARD,294.67706298828125,16,0.4433298408985138,29,294.67706298828125,1629.900146484375
0,R_A3,16,41,0.0,2018-07-03,STANDARD,294.8235778808594,17,0.7997393012046814,29,294.8235778808594,1631.8802490234375
0,R_A3,26,41,0.0,2018-07-03,STANDARD,285.0305480957031,18,0.13839998841285706,29,285.0305480957031,1634.5167236328125
0,R_A3,27,41,0.0,2018-07-03,STANDARD,285.2491455078125,19,0.04582041874527931,29,285.2491455078125,1638.0660400390625
0,R_A3,28,41,0.0,2018-07-03,STANDARD,285.4860534667969,20,0.04947889968752861,29,285.4860534667969,1641.6153564453125
