CONKPOS,SGAS,DATE,DRAWDOWN,SWAT,CONJPOS,CONIPOS,CONIDX,PRESSURE,DEPTH,CONBPRES,WELLMODEL,WELL
28,0.0,2018-01-01,0,1.0,42,17,21,308.370361328125,1729.5601806640625,308.370361328125,STANDARD,R_A6
29,0.0,2018-01-01,0,1.0,42,17,22,308.53204345703125,1731.265869140625,308.53204345703125,STANDARD,R_A6
30,0.0,2018-01-01,0,1.0,42,17,23,308.3879089355469,1732.9715576171875,308.3879089355469,STANDARD,R_A6
1,0.0,2018-03-01,0,0.05446699634194374,30,22,1,298.5343322753906,1641.0732421875,298.5343322753906,STANDARD,R_A2
2,0.0,2018-03-01,0,0.05651911720633507,30,22,2,298.65447998046875,1642.8660888671875,298.65447998046875,STANDARD,R_A2
3,0.0,2018-03-01,0,0.06010090932250023,30,22,3,298.774658203125,1644.658935546875,298.774658203125,STANDARD,R_A2
4,0.0,2018-03-01,0,0.06466533243656158,30,22,4,298.89483642578125,1646.45166015625,298.89483642578125,STANDARD,R_A2
5,0.0,2018-03-01,0,0.0698629841208458,30,22,5,299.0150146484375,1648.2445068359375,299.0150146484375,STANDARD,R_A2
6,0.0,2018-03-01,0,0.3169862627983093,30,22,6,299.16754150390625,1650.037353515625,299.16754150390625,STANDARD,R_A2
7,0.0,2018-03-01,0,0.889413595199585,30,22,7,299.29266357421875,1651.8302001953125,299.29266357421875,STANDARD,R_A2
8,0.0,2018-03-01,0,0.8500139117240906,30,22,8,299.418701171875,1653.623046875,299.418701171875,STANDARD,R_A2
9,0.0,2018-03-01,0,0.8962072730064392,30,22,9,299.7709045410156,1655.415771484375,299.7709045410156,STANDARD,R_A2
10,0.0,2018-03-01,0,0.8964651226997375,30,22,10,300.0733642578125,1657.2086181640625,300.0733642578125,STANDARD,R_A2
11,0.0,2018-03-01,0,0.07217951118946075,30,22,11,299.6902160644531,1659.12158203125,299.6902160644531,STANDARD,R_A2
13,0.0,2018-03-01,0,0.4498276710510254,30,22,12,300.34271240234375,1663.187744140625,300.34271240234375,STANDARD,R_A2
14,0.0,2018-03-01,0,0.47757744789123535,30,22,13,300.4795227050781,1665.220703125,300.4795227050781,STANDARD,R_A2
15,0.0,2018-03-01,0,0.5658488273620605,30,22,14,300.6274719238281,1667.2537841796875,300.6274719238281,STANDARD,R_A2
16,0.0,2018-03-01,0,0.9563031792640686,30,22,15,300.76605224609375,1669.286865234375,300.76605224609375,STANDARD,R_A2
17,0.0,2018-03-01,0,0.9063069224357605,30,22,16,300.9039306640625,1671.3199462890625,300.9039306640625,STANDARD,R_A2
17,0.0,2018-03-01,0,0.9077582359313965,29,22,17,300.8138427734375,1671.2353515625,300.8138427734375,STANDARD,R_A2
18,0.0,2018-03-01,0,0.9520696997642517,29,22,18,300.9449462890625,1673.1917724609375,300.9449462890625,STANDARD,R_A2
19,0.0,2018-03-01,0,0.9797907471656799,29,22,19,301.0128173828125,1674.2041015625,301.0128173828125,STANDARD,R_A2
26,-1.8680307917651098e-15,2018-03-01,0,1.0,29,22,20,303.00299072265625,1675.2003173828125,303.00299072265625,STANDARD,R_A2
27,-3.115005221081664e-16,2018-03-01,0,1.0,29,22,21,303.1336669921875,1677.0087890625,303.1336669921875,STANDARD,R_A2
28,-8.871449336253566e-16,2018-03-01,0,1.0,29,22,22,303.2565612792969,1678.8172607421875,303.2565612792969,STANDARD,R_A2
29,-2.1101278005735552e-14,2018-03-01,0,1.0,29,22,23,303.7184753417969,1680.625732421875,303.7184753417969,STANDARD,R_A2
30,-5.2600698590647005e-14,2018-03-01,0,1.0,29,22,24,303.8853454589844,1682.43408203125,303.8853454589844,STANDARD,R_A2
1,-6.614299663532108e-10,2018-04-28,0,1.0,20,31,1,282.1190185546875,1684.8056640625,282.1190185546875,STANDARD,R_A5
2,-6.880871983305781e-10,2018-04-28,0,1.0,20,31,2,282.3175964355469,1686.903564453125,282.3175964355469,STANDARD,R_A5
3,-6.947208364138646e-10,2018-04-28,0,1.0,20,31,3,282.5162048339844,1689.0013427734375,282.5162048339844,STANDARD,R_A5
4,-6.959823828367462e-10,2018-04-28,0,1.0,20,31,4,282.71478271484375,1691.0992431640625,282.71478271484375,STANDARD,R_A5
5,-6.504431993015203e-10,2018-04-28,0,1.0,20,31,5,282.9134521484375,1693.197021484375,282.9134521484375,STANDARD,R_A5
6,-4.302741496431395e-10,2018-04-28,0,1.0,20,31,6,283.1120910644531,1695.2947998046875,283.1120910644531,STANDARD,R_A5
7,-9.60812679418055e-12,2018-04-28,0,1.0,20,31,7,283.6591491699219,1697.392578125,283.6591491699219,STANDARD,R_A5
8,-4.1015160018309516e-12,2018-04-28,0,1.0,20,31,8,283.95257568359375,1699.490478515625,283.95257568359375,STANDARD,R_A5
11,-6.451850165234418e-11,2018-04-28,0,1.0,21,31,9,280.0280456542969,1700.8934326171875,280.0280456542969,STANDARD,R_A5
12,-6.934181701057085e-11,2018-04-28,0,1.0,21,31,10,280.1962890625,1702.9005126953125,280.1962890625,STANDARD,R_A5
13,-2.332299934779125e-12,2018-04-28,0,1.0,21,31,11,280.39825439453125,1704.9075927734375,280.39825439453125,STANDARD,R_A5
14,-3.722022256374968e-12,2018-04-28,0,1.0,21,31,12,280.5877685546875,1706.9146728515625,280.5877685546875,STANDARD,R_A5
15,-1.1724341116015058e-12,2018-04-28,0,1.0,21,31,13,280.7782287597656,1708.9217529296875,280.7782287597656,STANDARD,R_A5
16,-1.6642667333231081e-13,2018-04-28,0,1.0,21,31,14,281.1199951171875,1710.9288330078125,281.1199951171875,STANDARD,R_A5
17,-2.0271670897898525e-13,2018-04-28,0,1.0,21,31,15,281.3188171386719,1712.9359130859375,281.3188171386719,STANDARD,R_A5
18,-2.617606923317056e-13,2018-04-28,0,1.0,21,31,16,281.4668273925781,1714.462890625,281.4668273925781,STANDARD,R_A5
19,0.0,2018-04-28,0,1.0,21,31,17,281.5286560058594,1715.108154296875,281.5286560058594,STANDARD,R_A5
26,-6.527336857868951e-14,2018-04-28,0,1.0,21,31,18,284.3629455566406,1716.368408203125,284.3629455566406,STANDARD,R_A5
27,-5.2622521547500065e-14,2018-04-28,0,1.0,21,31,19,284.68145751953125,1718.645263671875,284.68145751953125,STANDARD,R_A5
