CONJPOS,CONIPOS,SGAS,CONIDX,WELL,WELLMODEL,PRESSURE,DATE,SWAT,DEPTH,CONBPRES,DRAWDOWN,CONKPOS
30,22,0.0,5,R_A2,STANDARD,300.34710693359375,2018-03-01,0.07153653353452682,1648.2713623046875,300.34710693359375,0,5
30,22,0.0,6,R_A2,STANDARD,300.46746826171875,2018-03-01,0.1432965248823166,1650.0654296875,300.46746826171875,0,6
30,22,0.0,7,R_A2,STANDARD,300.58782958984375,2018-03-01,0.2598825693130493,1651.859619140625,300.58782958984375,0,7
30,22,0.0,8,R_A2,STANDARD,300.7110900878906,2018-03-01,0.6482117176055908,1653.6536865234375,300.7110900878906,0,8
30,22,0.0,9,R_A2,STANDARD,300.8336181640625,2018-03-01,0.6482483744621277,1655.44775390625,300.8336181640625,0,9
30,22,0.0,10,R_A2,STANDARD,301.0753479003906,2018-03-01,0.9134908318519592,1657.2418212890625,301.0753479003906,0,10
30,22,0.0,11,R_A2,STANDARD,301.25762939453125,2018-03-01,0.07877298444509506,1659.1368408203125,301.25762939453125,0,11
30,22,0.0,12,R_A2,STANDARD,301.52337646484375,2018-03-01,0.08624505251646042,1661.132568359375,301.52337646484375,0,12
30,22,0.0,13,R_A2,STANDARD,301.63995361328125,2018-03-01,0.4577772617340088,1663.12841796875,301.63995361328125,0,13
30,22,0.0,14,R_A2,STANDARD,301.7622375488281,2018-03-01,0.5199543237686157,1665.1241455078125,301.7622375488281,0,14
30,22,0.0,15,R_A2,STANDARD,301.89544677734375,2018-03-01,0.6917746067047119,1667.1199951171875,301.89544677734375,0,15
30,22,0.0,16,R_A2,STANDARD,302.0273132324219,2018-03-01,0.9727020263671875,1669.11572265625,302.0273132324219,0,16
30,22,0.0,17,R_A2,STANDARD,302.16070556640625,2018-03-01,0.9494063258171082,1671.111572265625,302.16070556640625,0,17
30,22,0.0,18,R_A2,STANDARD,302.28643798828125,2018-03-01,0.9820592403411865,1672.9881591796875,302.28643798828125,0,18
29,22,0.0,19,R_A2,STANDARD,302.2534484863281,2018-03-01,0.9921725392341614,1674.229736328125,302.2534484863281,0,18
29,22,0.0,20,R_A2,STANDARD,302.3564758300781,2018-03-01,0.4951450824737549,1676.1676025390625,302.3564758300781,0,27
29,22,-2.2879911854012391e-10,21,R_A2,STANDARD,302.72210693359375,2018-03-01,1.0,1677.9368896484375,302.72210693359375,0,28
29,22,-4.744945547585644e-10,22,R_A2,STANDARD,302.9836730957031,2018-03-01,1.0,1679.7061767578125,302.9836730957031,0,29
29,22,-1.1858789232717382e-13,23,R_A2,STANDARD,303.5083923339844,2018-03-01,1.0,1681.4754638671875,303.5083923339844,0,30
29,22,-7.830120795184522e-15,24,R_A2,STANDARD,303.8267822265625,2018-03-01,1.0,1683.2447509765625,303.8267822265625,0,31
