DEPTH,DATE,WELL,WELLMODEL,DRAWDOWN,CONIDX,PRESSURE,SGAS,SWAT,CONKPOS,CONBPRES,CONJPOS,CONIPOS
1685.026611328125,2018-04-28,R_A5,STANDARD,0,1,274.66473388671875,-2.4760115066069005e-16,1.0,1,274.66473388671875,20,31
1687.3070068359375,2018-04-28,R_A5,STANDARD,0,2,274.8800048828125,-1.9596723980592958e-16,1.0,2,274.8800048828125,20,31
1689.5875244140625,2018-04-28,R_A5,STANDARD,0,3,275.39892578125,-1.1657556461563938e-17,1.0,3,275.39892578125,20,31
1691.8680419921875,2018-04-28,R_A5,STANDARD,0,4,275.3061828613281,-7.824124648950909e-15,1.0,4,275.3061828613281,20,31
1694.1485595703125,2018-04-28,R_A5,STANDARD,0,5,275.5212097167969,-2.9389857924720306e-14,1.0,5,275.5212097167969,20,31
1696.4290771484375,2018-04-28,R_A5,STANDARD,0,6,275.7366638183594,-2.790989824235507e-14,1.0,6,275.7366638183594,20,31
1698.70947265625,2018-04-28,R_A5,STANDARD,0,7,276.271240234375,-2.57412507989282e-15,1.0,7,276.271240234375,20,31
1707.6488037109375,2018-04-28,R_A5,STANDARD,0,8,277.42205810546875,-7.00306132528361e-13,1.0,11,277.42205810546875,20,31
1709.5638427734375,2018-04-28,R_A5,STANDARD,0,9,277.6186828613281,-6.545098664434423e-13,1.0,12,277.6186828613281,20,31
1701.7845458984375,2018-04-28,R_A5,STANDARD,0,10,276.3849182128906,-5.4239508717746077e-11,1.0,12,276.3849182128906,21,31
1703.735107421875,2018-04-28,R_A5,STANDARD,0,11,276.5856018066406,-1.8906941984253578e-12,1.0,13,276.5856018066406,21,31
1705.6856689453125,2018-04-28,R_A5,STANDARD,0,12,276.77569580078125,-4.243997080849438e-12,1.0,14,276.77569580078125,21,31
1707.63623046875,2018-04-28,R_A5,STANDARD,0,13,276.9700927734375,-1.3841671949246792e-12,1.0,15,276.9700927734375,21,31
1709.5867919921875,2018-04-28,R_A5,STANDARD,0,14,277.3724060058594,-2.895783873108071e-12,1.0,16,277.3724060058594,21,31
1711.537353515625,2018-04-28,R_A5,STANDARD,0,15,278.09381103515625,-2.714277370571838e-13,1.0,17,278.09381103515625,21,31
1713.35400390625,2018-04-28,R_A5,STANDARD,0,16,278.5175476074219,-6.445871939507464e-13,1.0,18,278.5175476074219,21,31
1714.3951416015625,2018-04-28,R_A5,STANDARD,0,17,278.74591064453125,0.0,1.0,19,278.74591064453125,21,31
1715.7628173828125,2018-04-28,R_A5,STANDARD,0,18,278.7928771972656,-1.4822694937785541e-12,1.0,27,278.7928771972656,21,31
1718.098388671875,2018-04-28,R_A5,STANDARD,0,19,279.0215148925781,-1.333935349331905e-12,1.0,28,279.0215148925781,21,31
1720.43408203125,2018-04-28,R_A5,STANDARD,0,20,291.1515808105469,-6.213632773716879e-20,1.0,29,291.1515808105469,21,31
1722.7696533203125,2018-04-28,R_A5,STANDARD,0,21,293.3157958984375,-4.823658505663232e-20,1.0,30,293.3157958984375,21,31
1725.105224609375,2018-04-28,R_A5,STANDARD,0,22,284.9519958496094,-1.149209779838164e-19,1.0,31,284.9519958496094,21,31
1609.243408203125,2018-07-03,R_A3,STANDARD,0,1,281.5159912109375,0.0,0.6493691205978394,1,281.5159912109375,41,28
1611.3077392578125,2018-07-03,R_A3,STANDARD,0,2,281.7142639160156,0.0,0.19372007250785828,2,281.7142639160156,41,28
1613.3720703125,2018-07-03,R_A3,STANDARD,0,3,281.85400390625,0.0,0.19451159238815308,3,281.85400390625,41,28
1615.4365234375,2018-07-03,R_A3,STANDARD,0,4,281.9973449707031,0.0,0.24973830580711365,4,281.9973449707031,41,28
1617.5008544921875,2018-07-03,R_A3,STANDARD,0,5,282.1380310058594,0.0,0.6492998003959656,5,282.1380310058594,41,28
1619.565185546875,2018-07-03,R_A3,STANDARD,0,6,282.2763977050781,0.0,0.1501864790916443,6,282.2763977050781,41,28
1609.3663330078125,2018-07-03,R_A3,STANDARD,0,7,281.57342529296875,0.0,0.27525702118873596,6,281.57342529296875,41,29
1611.4163818359375,2018-07-03,R_A3,STANDARD,0,8,281.71014404296875,0.0,0.19899778068065643,7,281.71014404296875,41,29
1613.46630859375,2018-07-03,R_A3,STANDARD,0,9,281.84686279296875,0.0,0.14634160697460175,8,281.84686279296875,41,29
