SWAT,CONBPRES,PRESSURE,CONKPOS,SGAS,CONIDX,WELLMODEL,DATE,WELL,CONJPOS,CONIPOS,DRAWDOWN,DEPTH
1.0,264.9464416503906,264.9464416503906,2,-1.4548349910837796e-14,2,STANDARD,2018-04-28,R_A5,20,31,0,1687.3070068359375
1.0,265.16229248046875,265.16229248046875,3,-1.3532684562246426e-14,3,STANDARD,2018-04-28,R_A5,20,31,0,1689.5875244140625
1.0,265.3778991699219,265.3778991699219,4,-1.4987751640357753e-14,4,STANDARD,2018-04-28,R_A5,20,31,0,1691.8680419921875
1.0,265.5933837890625,265.5933837890625,5,-1.4770333529390625e-14,5,STANDARD,2018-04-28,R_A5,20,31,0,1694.1485595703125
1.0,265.8089904785156,265.8089904785156,6,-1.1790652038967762e-14,6,STANDARD,2018-04-28,R_A5,20,31,0,1696.4290771484375
1.0,266.3476257324219,266.3476257324219,7,-3.2142973348345694e-15,7,STANDARD,2018-04-28,R_A5,20,31,0,1698.70947265625
1.0,272.4250793457031,272.4250793457031,11,-6.10549848525932e-12,8,STANDARD,2018-04-28,R_A5,20,31,0,1707.6488037109375
1.0,272.60760498046875,272.60760498046875,12,-2.648964814860877e-12,9,STANDARD,2018-04-28,R_A5,20,31,0,1709.5638427734375
1.0,270.6777038574219,270.6777038574219,12,-2.922332167920594e-11,10,STANDARD,2018-04-28,R_A5,21,31,0,1701.7845458984375
1.0,270.8752746582031,270.8752746582031,13,-2.2470272170727057e-12,11,STANDARD,2018-04-28,R_A5,21,31,0,1703.735107421875
1.0,271.06097412109375,271.06097412109375,14,-3.1109242785987146e-12,12,STANDARD,2018-04-28,R_A5,21,31,0,1705.6856689453125
1.0,272.2137451171875,272.2137451171875,15,-4.439846493925481e-12,13,STANDARD,2018-04-28,R_A5,21,31,0,1707.63623046875
1.0,273.32000732421875,273.32000732421875,16,-3.0627958936407795e-12,14,STANDARD,2018-04-28,R_A5,21,31,0,1709.5867919921875
1.0,273.5116882324219,273.5116882324219,17,-9.052615428106758e-13,15,STANDARD,2018-04-28,R_A5,21,31,0,1711.537353515625
1.0,273.6912536621094,273.6912536621094,18,-1.76253011751476e-12,16,STANDARD,2018-04-28,R_A5,21,31,0,1713.35400390625
1.0,273.789306640625,273.789306640625,19,0.0,17,STANDARD,2018-04-28,R_A5,21,31,0,1714.3951416015625
1.0,282.9469299316406,282.9469299316406,27,-5.996078470977412e-14,18,STANDARD,2018-04-28,R_A5,21,31,0,1715.7628173828125
1.0,283.28759765625,283.28759765625,28,-5.1958515479488473e-14,19,STANDARD,2018-04-28,R_A5,21,31,0,1718.098388671875
1.0,294.0274353027344,294.0274353027344,29,-5.2956639190573284e-20,20,STANDARD,2018-04-28,R_A5,21,31,0,1720.43408203125
1.0,296.8221435546875,296.8221435546875,30,-3.422793403181301e-21,21,STANDARD,2018-04-28,R_A5,21,31,0,1722.7696533203125
1.0,292.2407531738281,292.2407531738281,31,-7.096870511653831e-19,22,STANDARD,2018-04-28,R_A5,21,31,0,1725.105224609375
0.649773120880127,277.8604736328125,277.8604736328125,1,0.0,1,STANDARD,2018-07-03,R_A3,41,28,0,1609.243408203125
0.1976141482591629,277.99346923828125,277.99346923828125,2,0.0,2,STANDARD,2018-07-03,R_A3,41,28,0,1611.3077392578125
