CONJPOS,DRAWDOWN,DEPTH,SGAS,SWAT,WELL,DATE,CONIDX,CONIPOS,PRESSURE,CONBPRES,WELLMODEL,CONKPOS
42,0,1709.1318359375,0.0,1.0,R_A6,2018-01-01,10,17,306.12847900390625,306.12847900390625,STANDARD,10
42,0,1711.04296875,0.0,1.0,R_A6,2018-01-01,11,17,306.3097229003906,306.3097229003906,STANDARD,11
42,0,1713.319580078125,0.0,1.0,R_A6,2018-01-01,12,17,306.5254821777344,306.5254821777344,STANDARD,12
42,0,1715.5963134765625,0.0,1.0,R_A6,2018-01-01,13,17,306.75323486328125,306.75323486328125,STANDARD,13
42,0,1717.873046875,0.0,1.0,R_A6,2018-01-01,14,17,306.968994140625,306.968994140625,STANDARD,14
42,0,1720.1497802734375,0.0,1.0,R_A6,2018-01-01,15,17,307.1847839355469,307.1847839355469,STANDARD,15
42,0,1722.426513671875,0.0,1.0,R_A6,2018-01-01,16,17,307.5455627441406,307.5455627441406,STANDARD,16
42,0,1724.703125,0.0,1.0,R_A6,2018-01-01,17,17,307.7613525390625,307.7613525390625,STANDARD,17
42,0,1726.349853515625,0.0,1.0,R_A6,2018-01-01,18,17,307.91741943359375,307.91741943359375,STANDARD,18
42,0,1727.719970703125,0.0,1.0,R_A6,2018-01-01,19,17,307.8901672363281,307.8901672363281,STANDARD,27
42,0,1729.443115234375,0.0,1.0,R_A6,2018-01-01,20,17,308.3592834472656,308.3592834472656,STANDARD,28
42,0,1731.1663818359375,0.0,1.0,R_A6,2018-01-01,21,17,308.5226135253906,308.5226135253906,STANDARD,29
42,0,1732.8896484375,0.0,1.0,R_A6,2018-01-01,22,17,308.6859436035156,308.6859436035156,STANDARD,30
42,0,1734.61279296875,0.0,1.0,R_A6,2018-01-01,23,17,308.5434875488281,308.5434875488281,STANDARD,31
30,0,1641.174072265625,0.0,0.05454397574067116,R_A2,2018-03-01,1,22,300.0771484375,300.0771484375,STANDARD,1
