CONIDX,DATE,DRAWDOWN,CONKPOS,PRESSURE,SWAT,CONJPOS,CONBPRES,CONIPOS,WELL,DEPTH,SGAS,WELLMODEL
18,2018-01-01,0,18,307.84515380859375,1.0,42,307.84515380859375,17,R_A6,1725.58740234375,0.0,STANDARD
19,2018-01-01,0,26,307.83404541015625,1.0,42,307.83404541015625,17,R_A6,1727.1279296875,0.0,STANDARD
20,2018-01-01,0,27,308.30230712890625,1.0,42,308.30230712890625,17,R_A6,1728.842041015625,0.0,STANDARD
21,2018-01-01,0,28,308.4647521972656,1.0,42,308.4647521972656,17,R_A6,1730.55615234375,0.0,STANDARD
22,2018-01-01,0,29,308.6272277832031,1.0,42,308.6272277832031,17,R_A6,1732.2701416015625,0.0,STANDARD
23,2018-01-01,0,30,308.4839172363281,1.0,42,308.4839172363281,17,R_A6,1733.9842529296875,0.0,STANDARD
1,2018-03-01,0,1,298.8997497558594,0.05368698388338089,30,298.8997497558594,22,R_A2,1640.8277587890625,0.0,STANDARD
2,2018-03-01,0,2,299.0174255371094,0.05556178465485573,30,299.0174255371094,22,R_A2,1642.583984375,0.0,STANDARD
3,2018-03-01,0,3,299.1351013183594,0.058136459439992905,30,299.1351013183594,22,R_A2,1644.340087890625,0.0,STANDARD
4,2018-03-01,0,4,299.2527770996094,0.06205495819449425,30,299.2527770996094,22,R_A2,1646.0963134765625,0.0,STANDARD
5,2018-03-01,0,5,299.3704833984375,0.2280525416135788,30,299.3704833984375,22,R_A2,1647.8524169921875,0.0,STANDARD
6,2018-03-01,0,6,299.47174072265625,0.6838189363479614,30,299.47174072265625,22,R_A2,1649.6085205078125,0.0,STANDARD
7,2018-03-01,0,7,299.60980224609375,0.8783630132675171,30,299.60980224609375,22,R_A2,1651.36474609375,0.0,STANDARD
8,2018-03-01,0,8,299.7369689941406,0.8511040210723877,30,299.7369689941406,22,R_A2,1653.1209716796875,0.0,STANDARD
9,2018-03-01,0,9,300.09033203125,0.8698776960372925,30,300.09033203125,22,R_A2,1654.8770751953125,0.0,STANDARD
10,2018-03-01,0,10,300.30474853515625,0.8859860897064209,30,300.30474853515625,22,R_A2,1656.63330078125,0.0,STANDARD
11,2018-03-01,0,11,299.73291015625,0.06781642884016037,30,299.73291015625,22,R_A2,1658.5242919921875,0.0,STANDARD
12,2018-03-01,0,12,299.8498229980469,0.06483948230743408,30,299.8498229980469,22,R_A2,1660.5501708984375,0.0,STANDARD
13,2018-03-01,0,13,300.05279541015625,0.42751505970954895,30,300.05279541015625,22,R_A2,1662.576171875,0.0,STANDARD
14,2018-03-01,0,14,300.1894226074219,0.45711323618888855,30,300.1894226074219,22,R_A2,1664.60205078125,0.0,STANDARD
15,2018-03-01,0,15,300.3320007324219,0.9032301306724548,30,300.3320007324219,22,R_A2,1666.6279296875,0.0,STANDARD
16,2018-03-01,0,16,300.47198486328125,0.9135387539863586,30,300.47198486328125,22,R_A2,1668.6539306640625,0.0,STANDARD
17,2018-03-01,0,17,300.6093444824219,0.871732771396637,30,300.6093444824219,22,R_A2,1670.6798095703125,0.0,STANDARD
18,2018-03-01,0,18,300.7345886230469,0.9330295324325562,30,300.7345886230469,22,R_A2,1672.54296875,0.0,STANDARD
19,2018-03-01,0,26,303.1612854003906,1.0,29,303.1612854003906,22,R_A2,1679.5782470703125,-7.075995381049833e-21,STANDARD
20,2018-03-01,0,27,303.16375732421875,1.0,29,303.16375732421875,22,R_A2,1681.2889404296875,-2.137086666594292e-18,STANDARD
21,2018-03-01,0,28,303.2936706542969,1.0,29,303.2936706542969,22,R_A2,1682.99951171875,-4.164135564252186e-18,STANDARD
22,2018-03-01,0,29,302.7123718261719,1.0,29,302.7123718261719,22,R_A2,1684.710205078125,-3.2368893129004414e-14,STANDARD
23,2018-03-01,0,30,302.7644958496094,1.0,29,302.7644958496094,22,R_A2,1686.4208984375,-5.769524181326036e-12,STANDARD
1,2018-04-28,0,1,281.6640930175781,1.0,20,281.6640930175781,31,R_A5,1683.8560791015625,-6.296183574505676e-10,STANDARD
2,2018-04-28,0,2,281.854248046875,1.0,20,281.854248046875,31,R_A5,1685.8697509765625,-6.086877113453681e-10,STANDARD
3,2018-04-28,0,3,282.0451354980469,1.0,20,282.0451354980469,31,R_A5,1687.8834228515625,-5.303990580074469e-10,STANDARD
4,2018-04-28,0,4,282.2366943359375,1.0,20,282.2366943359375,31,R_A5,1689.8970947265625,-5.885254505955118e-10,STANDARD
5,2018-04-28,0,5,282.42840576171875,1.0,20,282.42840576171875,31,R_A5,1691.9107666015625,-5.96342419889595e-10,STANDARD
6,2018-04-28,0,6,282.6185607910156,1.0,20,282.6185607910156,31,R_A5,1693.9244384765625,-4.2538750300025185e-10,STANDARD
7,2018-04-28,0,7,283.1715393066406,1.0,20,283.1715393066406,31,R_A5,1695.9381103515625,-6.3071557525329336e-12,STANDARD
8,2018-04-28,0,7,282.0970764160156,1.0,21,282.0970764160156,31,R_A5,1693.22119140625,-3.284433836014955e-11,STANDARD
9,2018-04-28,0,8,282.35498046875,1.0,21,282.35498046875,31,R_A5,1695.570068359375,-2.4341870533128862e-11,STANDARD
10,2018-04-28,0,9,283.3740539550781,1.0,21,283.3740539550781,31,R_A5,1697.9189453125,-1.7765043993159257e-12,STANDARD
11,2018-04-28,0,11,280.33355712890625,1.0,21,280.33355712890625,31,R_A5,1702.442626953125,-7.066990742599089e-11,STANDARD
12,2018-04-28,0,12,280.5108642578125,1.0,21,280.5108642578125,31,R_A5,1704.443115234375,-8.103663573511e-11,STANDARD
13,2018-04-28,0,13,280.712646484375,1.0,21,280.712646484375,31,R_A5,1706.443603515625,-3.3663169907854895e-12,STANDARD
14,2018-04-28,0,14,280.9034423828125,1.0,21,280.9034423828125,31,R_A5,1708.444091796875,-3.835386001849184e-12,STANDARD
15,2018-04-28,0,15,281.09344482421875,1.0,21,281.09344482421875,31,R_A5,1710.444580078125,-1.174432513045831e-12,STANDARD
16,2018-04-28,0,16,281.43084716796875,1.0,21,281.43084716796875,31,R_A5,1712.445068359375,-2.543131178735225e-13,STANDARD
17,2018-04-28,0,17,281.5965576171875,1.0,21,281.5965576171875,31,R_A5,1714.183349609375,-2.2903288423789525e-13,STANDARD
18,2018-04-28,0,18,281.69873046875,1.0,21,281.69873046875,31,R_A5,1715.2603759765625,-6.205981999285617e-20,STANDARD
19,2018-04-28,0,19,281.75189208984375,1.0,21,281.75189208984375,31,R_A5,1715.8179931640625,0.0,STANDARD
20,2018-04-28,0,26,284.64886474609375,1.0,21,284.64886474609375,31,R_A5,1717.0687255859375,-9.247527223144036e-12,STANDARD
21,2018-04-28,0,27,284.8382263183594,1.0,21,284.8382263183594,31,R_A5,1719.13232421875,-1.1914478952046448e-11,STANDARD
22,2018-04-28,0,28,295.4264221191406,1.0,21,295.4264221191406,31,R_A5,1721.1959228515625,-1.1842343647324609e-18,STANDARD
23,2018-04-28,0,29,303.3033752441406,1.0,21,303.3033752441406,31,R_A5,1723.259521484375,-1.6499469240683778e-19,STANDARD
24,2018-04-28,0,30,306.70263671875,1.0,21,306.70263671875,31,R_A5,1725.3231201171875,-7.03235796866661e-22,STANDARD
1,2018-07-03,0,1,284.97564697265625,0.3396727740764618,41,284.97564697265625,28,R_A3,1610.024169921875,0.0,STANDARD
