WELLMODEL,DRAWDOWN,PRESSURE,CONJPOS,WELL,CONBPRES,CONKPOS,SGAS,SWAT,DEPTH,DATE,CONIDX,CONIPOS
STANDARD,0,301.2164306640625,30,R_A2,301.2164306640625,17,0.0,0.9590011835098267,1669.626708984375,2018-03-01,17,22
STANDARD,0,301.3495178222656,30,R_A2,301.3495178222656,18,0.0,0.9709885716438293,1671.6163330078125,2018-03-01,18,22
STANDARD,0,301.81707763671875,30,R_A2,301.81707763671875,24,0.0,0.550197422504425,1673.7628173828125,2018-03-01,19,22
STANDARD,0,301.874267578125,29,R_A2,301.874267578125,24,0.0,0.9998237490653992,1675.097412109375,2018-03-01,20,22
STANDARD,0,302.3417053222656,29,R_A2,302.3417053222656,25,1.3502001294796173e-08,0.9999977946281433,1676.777099609375,2018-03-01,21,22
STANDARD,0,302.5406188964844,29,R_A2,302.5406188964844,26,-2.398859444419088e-10,1.0,1678.456787109375,2018-03-01,22,22
STANDARD,0,302.7864685058594,29,R_A2,302.7864685058594,27,-1.209978569161746e-13,1.0,1680.136474609375,2018-03-01,23,22
STANDARD,0,303.3121337890625,29,R_A2,303.3121337890625,28,-6.6082304525075155e-15,1.0,1681.8162841796875,2018-03-01,24,22
STANDARD,0,265.5934753417969,20,R_A5,265.5934753417969,1,-4.167188224671976e-15,1.0,1683.7362060546875,2018-04-28,1,31
STANDARD,0,265.7885437011719,20,R_A5,265.7885437011719,2,-3.578349130949152e-15,1.0,1685.80126953125,2018-04-28,2,31
STANDARD,0,265.9835510253906,20,R_A5,265.9835510253906,3,-3.594111143548134e-15,1.0,1687.8662109375,2018-04-28,3,31
STANDARD,0,266.1785888671875,20,R_A5,266.1785888671875,4,-4.051307764740483e-15,1.0,1689.9312744140625,2018-04-28,4,31
STANDARD,0,266.3737487792969,20,R_A5,266.3737487792969,5,-3.5884207762084796e-15,1.0,1691.9962158203125,2018-04-28,5,31
STANDARD,0,266.5690002441406,20,R_A5,266.5690002441406,6,-3.2235640870357683e-15,1.0,1694.061279296875,2018-04-28,6,31
STANDARD,0,267.1367492675781,20,R_A5,267.1367492675781,7,-3.583892485132899e-16,1.0,1696.126220703125,2018-04-28,7,31
STANDARD,0,264.6762390136719,21,R_A5,264.6762390136719,11,-5.7332217010713e-15,1.0,1703.3531494140625,2018-04-28,8,31
STANDARD,0,265.1186828613281,21,R_A5,265.1186828613281,12,-3.6928735758353856e-14,1.0,1705.3115234375,2018-04-28,9,31
STANDARD,0,265.3197326660156,21,R_A5,265.3197326660156,13,-2.5123179327646208e-15,1.0,1707.269775390625,2018-04-28,10,31
STANDARD,0,265.5103454589844,21,R_A5,265.5103454589844,14,-2.721536129527617e-15,1.0,1709.2281494140625,2018-04-28,11,31
STANDARD,0,265.6994323730469,21,R_A5,265.6994323730469,15,-8.580599927385712e-16,1.0,1711.1864013671875,2018-04-28,12,31
STANDARD,0,266.0397644042969,21,R_A5,266.0397644042969,16,-1.4090501603671653e-16,1.0,1713.144775390625,2018-04-28,13,31
STANDARD,0,266.24322509765625,21,R_A5,266.24322509765625,17,-1.8693032470101225e-16,1.0,1715.0599365234375,2018-04-28,14,31
STANDARD,0,266.38458251953125,21,R_A5,266.38458251953125,18,-2.0107676753689413e-16,1.0,1716.4609375,2018-04-28,15,31
STANDARD,0,267.085205078125,21,R_A5,267.085205078125,24,-1.551222225196411e-17,1.0,1718.0968017578125,2018-04-28,16,31
STANDARD,0,267.279052734375,21,R_A5,267.279052734375,25,-1.5641366652279564e-17,1.0,1720.28564453125,2018-04-28,17,31
STANDARD,0,284.8105163574219,21,R_A5,284.8105163574219,26,-2.5193683097101095e-25,1.0,1722.474365234375,2018-04-28,18,31
STANDARD,0,299.00177001953125,21,R_A5,299.00177001953125,27,5.966890875870014e-29,1.0,1724.6632080078125,2018-04-28,19,31
STANDARD,0,304.2496337890625,21,R_A5,304.2496337890625,28,-1.5908117393745883e-30,1.0,1726.85205078125,2018-04-28,20,31
STANDARD,0,291.1549072265625,41,R_A3,291.1549072265625,1,0.0,0.6487322449684143,1608.4337158203125,2018-07-03,1,28
STANDARD,0,291.307861328125,41,R_A3,291.307861328125,2,0.0,0.19992907345294952,1610.5078125,2018-07-03,2,28
STANDARD,0,291.4468688964844,41,R_A3,291.4468688964844,3,0.0,0.23968274891376495,1612.5819091796875,2018-07-03,3,28
STANDARD,0,291.58648681640625,41,R_A3,291.58648681640625,4,0.0,0.32290390133857727,1614.656005859375,2018-07-03,4,28
