CONJPOS,WELL,SGAS,CONKPOS,SWAT,DATE,WELLMODEL,CONIDX,DRAWDOWN,PRESSURE,DEPTH,CONBPRES,CONIPOS
30,R_A2,0.0,10,0.8873609900474548,2018-03-01,STANDARD,10,0,300.20758056640625,1655.5208740234375,300.20758056640625,22
30,R_A2,0.0,11,0.06490439921617508,2018-03-01,STANDARD,11,0,299.9951477050781,1657.43603515625,299.9951477050781,22
30,R_A2,0.0,12,0.06542576104402542,2018-03-01,STANDARD,12,0,300.12554931640625,1659.48193359375,300.12554931640625,22
30,R_A2,0.0,13,0.4273430109024048,2018-03-01,STANDARD,13,0,300.2818603515625,1661.5277099609375,300.2818603515625,22
30,R_A2,0.0,14,0.4631686806678772,2018-03-01,STANDARD,14,0,300.4197998046875,1663.573486328125,300.4197998046875,22
30,R_A2,0.0,15,0.897923469543457,2018-03-01,STANDARD,15,0,300.5615234375,1665.6192626953125,300.5615234375,22
30,R_A2,0.0,16,0.9097512364387512,2018-03-01,STANDARD,16,0,300.703857421875,1667.6650390625,300.703857421875,22
30,R_A2,0.0,17,0.8573142886161804,2018-03-01,STANDARD,17,0,300.84490966796875,1669.7108154296875,300.84490966796875,22
29,R_A2,0.0,17,0.9404438138008118,2018-03-01,STANDARD,18,0,301.12615966796875,1674.593505859375,301.12615966796875,22
29,R_A2,0.0,18,0.973945140838623,2018-03-01,STANDARD,19,0,301.2731018066406,1676.4122314453125,301.2731018066406,22
29,R_A2,0.0,25,0.7554188966751099,2018-03-01,STANDARD,20,0,303.10919189453125,1678.063232421875,303.10919189453125,22
29,R_A2,0.0,26,0.8394995927810669,2018-03-01,STANDARD,21,0,302.5025939941406,1679.778076171875,302.5025939941406,22
29,R_A2,0.0,27,0.847017765045166,2018-03-01,STANDARD,22,0,302.45623779296875,1681.4930419921875,302.45623779296875,22
29,R_A2,0.0,28,0.9999955296516418,2018-03-01,STANDARD,23,0,302.6823425292969,1683.2078857421875,302.6823425292969,22
29,R_A2,0.0,29,0.9999989867210388,2018-03-01,STANDARD,24,0,302.8416442871094,1684.9228515625,302.8416442871094,22
20,R_A5,-1.1841637670428895e-09,1,1.0,2018-04-28,STANDARD,1,0,281.4236145019531,1684.1060791015625,281.4236145019531,31
20,R_A5,-1.2734533427760653e-09,2,1.0,2018-04-28,STANDARD,2,0,281.61199951171875,1686.116455078125,281.61199951171875,31
20,R_A5,-1.2830231321814267e-09,3,1.0,2018-04-28,STANDARD,3,0,281.8013000488281,1688.126708984375,281.8013000488281,31
20,R_A5,-1.563371543333858e-09,4,0.9999999403953552,2018-04-28,STANDARD,4,0,281.9911804199219,1690.1370849609375,281.9911804199219,31
20,R_A5,-1.2951754113643688e-09,5,1.0,2018-04-28,STANDARD,5,0,282.1816101074219,1692.1474609375,282.1816101074219,31
20,R_A5,-1.118309111980409e-09,6,1.0,2018-04-28,STANDARD,6,0,282.3720703125,1694.1578369140625,282.3720703125,31
20,R_A5,-2.5895089891814216e-11,7,1.0,2018-04-28,STANDARD,7,0,282.92633056640625,1696.1680908203125,282.92633056640625,31
20,R_A5,-2.5117666193480437e-12,8,1.0,2018-04-28,STANDARD,8,0,283.16680908203125,1698.178466796875,283.16680908203125,31
21,R_A5,-2.5559989888512824e-11,8,1.0,2018-04-28,STANDARD,9,0,282.13079833984375,1694.963623046875,282.13079833984375,31
21,R_A5,-3.8941017077576134e-11,9,1.0,2018-04-28,STANDARD,10,0,282.3798828125,1697.315185546875,282.3798828125,31
21,R_A5,-3.782461323320607e-12,10,1.0,2018-04-28,STANDARD,11,0,282.796875,1699.6666259765625,282.796875,31
21,R_A5,-1.4154860443482686e-11,11,1.0,2018-04-28,STANDARD,12,0,278.13580322265625,1701.8751220703125,278.13580322265625,31
