DATE,SWAT,WELLMODEL,CONKPOS,CONJPOS,SGAS,DEPTH,CONIDX,PRESSURE,DRAWDOWN,CONBPRES,CONIPOS,WELL
2018-01-01,1.0,STANDARD,12,42,0.0,1713.23486328125,12,306.5174560546875,0,306.5174560546875,17,R_A6
2018-01-01,1.0,STANDARD,13,42,0.0,1715.5113525390625,13,306.74517822265625,0,306.74517822265625,17,R_A6
2018-01-01,1.0,STANDARD,14,42,0.0,1717.787841796875,14,306.9609069824219,0,306.9609069824219,17,R_A6
2018-01-01,1.0,STANDARD,15,42,0.0,1720.0643310546875,15,307.1766662597656,0,307.1766662597656,17,R_A6
2018-01-01,1.0,STANDARD,16,42,0.0,1722.3409423828125,16,307.5374450683594,0,307.5374450683594,17,R_A6
2018-01-01,1.0,STANDARD,17,42,0.0,1724.617431640625,17,307.7532043457031,0,307.7532043457031,17,R_A6
2018-01-01,1.0,STANDARD,18,42,0.0,1726.25634765625,18,307.9085388183594,0,307.9085388183594,17,R_A6
2018-01-01,1.0,STANDARD,26,42,0.0,1727.617919921875,19,307.8804931640625,0,307.8804931640625,17,R_A6
2018-01-01,1.0,STANDARD,27,42,0.0,1729.3394775390625,20,308.0436706542969,0,308.0436706542969,17,R_A6
2018-01-01,1.0,STANDARD,28,42,0.0,1731.06103515625,21,308.51263427734375,0,308.51263427734375,17,R_A6
2018-01-01,1.0,STANDARD,29,42,0.0,1732.7825927734375,22,308.67578125,0,308.67578125,17,R_A6
2018-01-01,1.0,STANDARD,30,42,0.0,1734.504150390625,23,308.5331726074219,0,308.5331726074219,17,R_A6
2018-03-01,0.0527966246008873,STANDARD,1,30,0.0,1639.49609375,1,297.9685363769531,0,297.9685363769531,22,R_A2
2018-03-01,0.054772403091192245,STANDARD,2,30,0.0,1641.2518310546875,2,298.0861511230469,0,298.0861511230469,22,R_A2
2018-03-01,0.05613880604505539,STANDARD,3,30,0.0,1643.007568359375,3,298.20379638671875,0,298.20379638671875,22,R_A2
2018-03-01,0.06024891138076782,STANDARD,4,30,0.0,1644.7633056640625,4,298.3214416503906,0,298.3214416503906,22,R_A2
2018-03-01,0.06478163599967957,STANDARD,5,30,0.0,1646.51904296875,5,298.4390563964844,0,298.4390563964844,22,R_A2
2018-03-01,0.2921648323535919,STANDARD,6,30,0.0,1648.27490234375,6,298.5610046386719,0,298.5610046386719,22,R_A2
2018-03-01,0.8604635000228882,STANDARD,7,30,0.0,1650.0306396484375,7,298.6779479980469,0,298.6779479980469,22,R_A2
2018-03-01,0.862246036529541,STANDARD,8,30,0.0,1651.786376953125,8,298.80126953125,0,298.80126953125,22,R_A2
2018-03-01,0.8687002658843994,STANDARD,9,30,0.0,1653.5421142578125,9,299.0392761230469,0,299.0392761230469,22,R_A2
2018-03-01,0.8797293901443481,STANDARD,10,30,0.0,1655.2979736328125,10,299.2099609375,0,299.2099609375,22,R_A2
2018-03-01,0.06634916365146637,STANDARD,11,30,0.0,1657.221435546875,11,299.55303955078125,0,299.55303955078125,22,R_A2
2018-03-01,0.12317018955945969,STANDARD,12,30,0.0,1659.3125,12,299.6932678222656,0,299.6932678222656,22,R_A2
2018-03-01,0.42111730575561523,STANDARD,13,30,0.0,1661.403564453125,13,299.8341369628906,0,299.8341369628906,22,R_A2
2018-03-01,0.46634116768836975,STANDARD,14,30,0.0,1663.49462890625,14,299.97589111328125,0,299.97589111328125,22,R_A2
2018-03-01,0.8921101093292236,STANDARD,15,30,0.0,1665.585693359375,15,300.1180114746094,0,300.1180114746094,22,R_A2
2018-03-01,0.9013006687164307,STANDARD,16,30,0.0,1667.6767578125,16,300.25897216796875,0,300.25897216796875,22,R_A2
2018-03-01,0.865820050239563,STANDARD,17,30,0.0,1669.767822265625,17,300.399658203125,0,300.399658203125,22,R_A2
2018-03-01,0.9345874190330505,STANDARD,18,30,0.0,1671.41455078125,18,300.51007080078125,0,300.51007080078125,22,R_A2
2018-03-01,0.3894527852535248,STANDARD,26,30,0.0,1672.9730224609375,19,300.7440490722656,0,300.7440490722656,22,R_A2
2018-03-01,1.0,STANDARD,27,30,-2.372580742981967e-10,1674.6656494140625,20,301.1810302734375,0,301.1810302734375,22,R_A2
