SGAS,SWAT,DATE,CONBPRES,DRAWDOWN,DEPTH,WELLMODEL,CONJPOS,CONIPOS,CONKPOS,CONIDX,PRESSURE,WELL
0.0,1.0,2018-01-01,303.7925720214844,0,1684.4830322265625,STANDARD,20,31,1,1,303.7925720214844,R_A5
0.0,1.0,2018-01-01,303.9969177246094,0,1686.6392822265625,STANDARD,20,31,2,2,303.9969177246094,R_A5
0.0,1.0,2018-01-01,304.20123291015625,0,1688.7955322265625,STANDARD,20,31,3,3,304.20123291015625,R_A5
0.0,1.0,2018-01-01,304.40557861328125,0,1690.9517822265625,STANDARD,20,31,4,4,304.40557861328125,R_A5
0.0,1.0,2018-01-01,304.60992431640625,0,1693.1080322265625,STANDARD,20,31,5,5,304.60992431640625,R_A5
0.0,1.0,2018-01-01,304.81427001953125,0,1695.2642822265625,STANDARD,20,31,6,6,304.81427001953125,R_A5
0.0,1.0,2018-01-01,305.32440185546875,0,1697.4205322265625,STANDARD,20,31,7,7,305.32440185546875,R_A5
0.0,1.0,2018-01-01,305.52874755859375,0,1699.5767822265625,STANDARD,20,31,8,8,305.52874755859375,R_A5
0.0,1.0,2018-01-01,305.06500244140625,0,1694.683349609375,STANDARD,21,31,8,9,305.06500244140625,R_A5
0.0,1.0,2018-01-01,305.293212890625,0,1697.0916748046875,STANDARD,21,31,9,10,305.293212890625,R_A5
0.0,1.0,2018-01-01,305.4258728027344,0,1701.7169189453125,STANDARD,21,31,11,11,305.4258728027344,R_A5
0.0,1.0,2018-01-01,305.6178283691406,0,1703.7421875,STANDARD,21,31,12,12,305.6178283691406,R_A5
0.0,1.0,2018-01-01,305.82171630859375,0,1705.7674560546875,STANDARD,21,31,13,13,305.82171630859375,R_A5
0.0,1.0,2018-01-01,306.0136413574219,0,1707.792724609375,STANDARD,21,31,14,14,306.0136413574219,R_A5
0.0,1.0,2018-01-01,306.2055969238281,0,1709.8179931640625,STANDARD,21,31,15,15,306.2055969238281,R_A5
0.0,1.0,2018-01-01,306.54254150390625,0,1711.84326171875,STANDARD,21,31,16,16,306.54254150390625,R_A5
0.0,1.0,2018-01-01,306.73419189453125,0,1713.8653564453125,STANDARD,21,31,17,17,306.73419189453125,R_A5
0.0,1.0,2018-01-01,306.8612365722656,0,1715.205810546875,STANDARD,21,31,18,18,306.8612365722656,R_A5
0.0,1.0,2018-01-01,306.910400390625,0,1715.724609375,STANDARD,21,31,19,19,306.910400390625,R_A5
0.0,1.0,2018-01-01,306.8759765625,0,1717.0191650390625,STANDARD,21,31,25,20,306.8759765625,R_A5
0.0,1.0,2018-01-01,307.0858154296875,0,1719.2330322265625,STANDARD,21,31,26,21,307.0858154296875,R_A5
0.0,1.0,2018-01-01,307.6014099121094,0,1721.44677734375,STANDARD,21,31,27,22,307.6014099121094,R_A5
0.0,1.0,2018-01-01,307.81121826171875,0,1723.66064453125,STANDARD,21,31,28,23,307.81121826171875,R_A5
0.0,1.0,2018-01-01,308.02105712890625,0,1725.87451171875,STANDARD,21,31,29,24,308.02105712890625,R_A5
0.0,1.0,2018-01-01,305.09149169921875,0,1694.963134765625,STANDARD,42,17,1,1,305.09149169921875,R_A6
0.0,1.0,2018-01-01,305.2380676269531,0,1696.509521484375,STANDARD,42,17,2,2,305.2380676269531,R_A6
0.0,1.0,2018-01-01,305.3846130371094,0,1698.0560302734375,STANDARD,42,17,3,3,305.3846130371094,R_A6
0.0,1.0,2018-01-01,305.5311584472656,0,1699.6024169921875,STANDARD,42,17,4,4,305.5311584472656,R_A6
0.0,1.0,2018-01-01,305.6777038574219,0,1701.14892578125,STANDARD,42,17,5,5,305.6777038574219,R_A6
