SWAT,CONKPOS,DRAWDOWN,CONIPOS,SGAS,CONBPRES,PRESSURE,WELLMODEL,CONIDX,CONJPOS,DATE,WELL,DEPTH
1.0,12,0,31,-4.9504997323701616e-11,277.54193115234375,277.54193115234375,STANDARD,11,21,2018-04-28,R_A5,1703.2286376953125
1.0,13,0,31,-2.8756211821467925e-12,277.7374267578125,277.7374267578125,STANDARD,12,21,2018-04-28,R_A5,1705.163330078125
1.0,14,0,31,-4.420655681791619e-12,277.9209289550781,277.9209289550781,STANDARD,13,21,2018-04-28,R_A5,1707.0980224609375
1.0,15,0,31,-1.8005128638032275e-12,278.145263671875,278.145263671875,STANDARD,14,21,2018-04-28,R_A5,1709.03271484375
1.0,16,0,31,-2.606733459729199e-13,278.196044921875,278.196044921875,STANDARD,15,21,2018-04-28,R_A5,1710.9674072265625
1.0,17,0,31,-2.653361742561283e-13,278.3574523925781,278.3574523925781,STANDARD,16,21,2018-04-28,R_A5,1712.7906494140625
1.0,18,0,31,-4.238794103043897e-13,278.4808044433594,278.4808044433594,STANDARD,17,21,2018-04-28,R_A5,1714.2120361328125
1.0,19,0,31,0.0,278.5462341308594,278.5462341308594,STANDARD,18,21,2018-04-28,R_A5,1714.9403076171875
1.0,26,0,31,-4.7407591741155386e-11,278.4990234375,278.4990234375,STANDARD,19,21,2018-04-28,R_A5,1716.205810546875
1.0,27,0,31,-7.440736915498292e-11,278.7246398925781,278.7246398925781,STANDARD,20,21,2018-04-28,R_A5,1718.4110107421875
1.0,28,0,31,-1.1715280655300031e-11,279.3282165527344,279.3282165527344,STANDARD,21,21,2018-04-28,R_A5,1720.6160888671875
1.0,29,0,31,-2.3633399992323452e-14,280.17919921875,280.17919921875,STANDARD,22,21,2018-04-28,R_A5,1722.8212890625
1.0,30,0,31,-1.1682457583606808e-20,279.4288635253906,279.4288635253906,STANDARD,23,21,2018-04-28,R_A5,1725.0264892578125
0.6488839983940125,1,0,28,0.0,288.06561279296875,288.06561279296875,STANDARD,1,41,2018-07-03,R_A3,1611.5738525390625
0.1969224512577057,2,0,28,0.0,288.1983947753906,288.1983947753906,STANDARD,2,41,2018-07-03,R_A3,1613.5399169921875
0.19754868745803833,3,0,28,0.0,288.3299560546875,288.3299560546875,STANDARD,3,41,2018-07-03,R_A3,1615.5059814453125
0.20166602730751038,4,0,28,0.0,288.46148681640625,288.46148681640625,STANDARD,4,41,2018-07-03,R_A3,1617.47216796875
0.7861118316650391,5,0,28,0.0,288.9252014160156,288.9252014160156,STANDARD,5,41,2018-07-03,R_A3,1619.438232421875
0.7885554432868958,5,0,29,0.0,288.11785888671875,288.11785888671875,STANDARD,6,41,2018-07-03,R_A3,1607.6273193359375
0.6488209962844849,6,0,29,0.0,288.28436279296875,288.28436279296875,STANDARD,7,41,2018-07-03,R_A3,1609.74560546875
0.19484709203243256,7,0,29,0.0,288.4313049316406,288.4313049316406,STANDARD,8,41,2018-07-03,R_A3,1611.864013671875
0.19683454930782318,8,0,29,0.0,288.57293701171875,288.57293701171875,STANDARD,9,41,2018-07-03,R_A3,1613.9822998046875
0.6489261388778687,9,0,29,0.0,288.71453857421875,288.71453857421875,STANDARD,10,41,2018-07-03,R_A3,1616.1005859375
0.27342644333839417,10,0,29,0.0,288.86187744140625,288.86187744140625,STANDARD,11,41,2018-07-03,R_A3,1618.2188720703125
