date,amount,phase,containment,zone,region,plume_group
2040-01-01,575960.4650146846,total,outside,topvolantis,all,all
2060-01-01,933869.9118622033,total,outside,topvolantis,all,all
2080-01-01,1397554.7402519651,total,outside,topvolantis,all,all
2100-01-01,1957883.3457366119,total,outside,topvolantis,all,all
2120-01-01,2600213.7417625124,total,outside,topvolantis,all,all
2140-01-01,3308541.4356369865,total,outside,topvolantis,all,all
2160-01-01,4068084.8165737335,total,outside,topvolantis,all,all
2180-01-01,4866444.590990467,total,outside,topvolantis,all,all
2200-01-01,5693935.959665098,total,outside,topvolantis,all,all
2020-01-01,1138.2165996003012,aqueous,outside,topvolantis,all,all
2040-01-01,2029.7065367303526,aqueous,outside,topvolantis,all,all
2060-01-01,3290.99301028272,aqueous,outside,topvolantis,all,all
2080-01-01,4925.0359426242585,aqueous,outside,topvolantis,all,all
2100-01-01,6899.655213133032,aqueous,outside,topvolantis,all,all
2120-01-01,9163.251905522546,aqueous,outside,topvolantis,all,all
2140-01-01,11659.425580164434,aqueous,outside,topvolantis,all,all
2160-01-01,14336.085279677458,aqueous,outside,topvolantis,all,all
2180-01-01,17149.535422917583,aqueous,outside,topvolantis,all,all
2200-01-01,20065.646409882676,aqueous,outside,topvolantis,all,all
2020-01-01,321848.2595878758,gas,outside,topvolantis,all,all
2040-01-01,573930.7584779542,gas,outside,topvolantis,all,all
2060-01-01,930578.9188519205,gas,outside,topvolantis,all,all
2080-01-01,1392629.7043093408,gas,outside,topvolantis,all,all
2100-01-01,1950983.690523479,gas,outside,topvolantis,all,all
2120-01-01,2591050.4898569896,gas,outside,topvolantis,all,all
2140-01-01,3296882.010056822,gas,outside,topvolantis,all,all
2160-01-01,4053748.731294056,gas,outside,topvolantis,all,all
2180-01-01,4849295.05556755,gas,outside,topvolantis,all,all
2200-01-01,5673870.313255216,gas,outside,topvolantis,all,all
2020-01-01,213574.8657829535,total,total,topvolon,all,all
2040-01-01,243204.0290767346,total,total,topvolon,all,all
2060-01-01,275384.24267436145,total,total,topvolon,all,all
2080-01-01,310294.4437194932,total,total,topvolon,all,all
2100-01-01,348093.67364295275,total,total,topvolon,all,all
2120-01-01,388919.81192425295,total,total,topvolon,all,all
2140-01-01,432888.9178688091,total,total,topvolon,all,all
2160-01-01,480099.7689498516,total,total,topvolon,all,all
2180-01-01,530644.2523085948,total,total,topvolon,all,all
2200-01-01,584618.5783229629,total,total,topvolon,all,all
2020-01-01,18112.06904836792,aqueous,total,topvolon,all,all
2040-01-01,20624.74978659533,aqueous,total,topvolon,all,all
2060-01-01,23353.7705846876,aqueous,total,topvolon,all,all
2080-01-01,26314.306083581025,aqueous,total,topvolon,all,all
2100-01-01,29519.84368202004,aqueous,total,topvolon,all,all
2120-01-01,32982.07615407745,aqueous,total,topvolon,all,all
2140-01-01,36710.84582902401,aqueous,total,topvolon,all,all
2160-01-01,40714.529462275204,aqueous,total,topvolon,all,all
2180-01-01,45000.9194793643,aqueous,total,topvolon,all,all
2200-01-01,49578.17493480917,aqueous,total,topvolon,all,all
2020-01-01,195462.7967345856,gas,total,topvolon,all,all
2040-01-01,222579.27929013927,gas,total,topvolon,all,all
2060-01-01,252030.47208967386,gas,total,topvolon,all,all
2080-01-01,283980.1376359122,gas,total,topvolon,all,all
2100-01-01,318573.8299609327,gas,total,topvolon,all,all
2120-01-01,355937.7357701755,gas,total,topvolon,all,all
2140-01-01,396178.0720397851,gas,total,topvolon,all,all
2160-01-01,439385.2394875764,gas,total,topvolon,all,all
2180-01-01,485643.3328292304,gas,total,topvolon,all,all
2200-01-01,535040.4033881536,gas,total,topvolon,all,all
2020-01-01,213574.8657829535,total,contained,topvolon,all,all
2040-01-01,243204.0290767346,total,contained,topvolon,all,all
2060-01-01,275384.24267436145,total,contained,topvolon,all,all
2080-01-01,310294.44371949317,total,contained,topvolon,all,all
2100-01-01,348093.6736429521,total,contained,topvolon,all,all
2120-01-01,388919.8119242476,total,contained,topvolon,all,all
2140-01-01,432888.9178687723,total,contained,topvolon,all,all
2160-01-01,480099.7689496405,total,contained,topvolon,all,all
2180-01-01,530644.2523075516,total,contained,topvolon,all,all
2200-01-01,584618.5783184388,total,contained,topvolon,all,all
2020-01-01,18112.06904836792,aqueous,contained,topvolon,all,all
2040-01-01,20624.74978659533,aqueous,contained,topvolon,all,all
2060-01-01,23353.7705846876,aqueous,contained,topvolon,all,all
2080-01-01,26314.306083581025,aqueous,contained,topvolon,all,all
2100-01-01,29519.843682020037,aqueous,contained,topvolon,all,all
2120-01-01,32982.076154077426,aqueous,contained,topvolon,all,all
2140-01-01,36710.84582902388,aqueous,contained,topvolon,all,all
2160-01-01,40714.52946227446,aqueous,contained,topvolon,all,all
2180-01-01,45000.91947936062,aqueous,contained,topvolon,all,all
2200-01-01,49578.17493479323,aqueous,contained,topvolon,all,all
2020-01-01,195462.7967345856,gas,contained,topvolon,all,all
2040-01-01,222579.27929013927,gas,contained,topvolon,all,all
2060-01-01,252030.47208967386,gas,contained,topvolon,all,all
2080-01-01,283980.13763591216,gas,contained,topvolon,all,all
2100-01-01,318573.8299609321,gas,contained,topvolon,all,all
2120-01-01,355937.73577017017,gas,contained,topvolon,all,all
2140-01-01,396178.0720397484,gas,contained,topvolon,all,all
2160-01-01,439385.23948736605,gas,contained,topvolon,all,all
2180-01-01,485643.33282819093,gas,contained,topvolon,all,all
2200-01-01,535040.4033836456,gas,contained,topvolon,all,all
2020-01-01,0.0,total,hazardous,topvolon,all,all
2040-01-01,0.0,total,hazardous,topvolon,all,all
2060-01-01,0.0,total,hazardous,topvolon,all,all
2080-01-01,0.0,total,hazardous,topvolon,all,all
2100-01-01,0.0,total,hazardous,topvolon,all,all
2120-01-01,0.0,total,hazardous,topvolon,all,all
2140-01-01,0.0,total,hazardous,topvolon,all,all
2160-01-01,0.0,total,hazardous,topvolon,all,all
2180-01-01,0.0,total,hazardous,topvolon,all,all
2200-01-01,0.0,total,hazardous,topvolon,all,all
2020-01-01,0.0,aqueous,hazardous,topvolon,all,all
2040-01-01,0.0,aqueous,hazardous,topvolon,all,all
2060-01-01,0.0,aqueous,hazardous,topvolon,all,all
2080-01-01,0.0,aqueous,hazardous,topvolon,all,all
2100-01-01,0.0,aqueous,hazardous,topvolon,all,all
2120-01-01,0.0,aqueous,hazardous,topvolon,all,all
2140-01-01,0.0,aqueous,hazardous,topvolon,all,all
2160-01-01,0.0,aqueous,hazardous,topvolon,all,all
2180-01-01,0.0,aqueous,hazardous,topvolon,all,all
2200-01-01,0.0,aqueous,hazardous,topvolon,all,all
2020-01-01,0.0,gas,hazardous,topvolon,all,all
2040-01-01,0.0,gas,hazardous,topvolon,all,all
2060-01-01,0.0,gas,hazardous,topvolon,all,all
2080-01-01,0.0,gas,hazardous,topvolon,all,all
2100-01-01,0.0,gas,hazardous,topvolon,all,all
2120-01-01,0.0,gas,hazardous,topvolon,all,all
2140-01-01,0.0,gas,hazardous,topvolon,all,all
2160-01-01,0.0,gas,hazardous,topvolon,all,all
2180-01-01,0.0,gas,hazardous,topvolon,all,all
2200-01-01,0.0,gas,hazardous,topvolon,all,all
2020-01-01,0.0,total,outside,topvolon,all,all
2040-01-01,0.0,total,outside,topvolon,all,all
2060-01-01,0.0,total,outside,topvolon,all,all
2080-01-01,4.548354093196597e-11,total,outside,topvolon,all,all
2100-01-01,6.29288874733886e-10,total,outside,topvolon,all,all
2120-01-01,5.389841489512298e-09,total,outside,topvolon,all,all
2140-01-01,3.6808003106859875e-08,total,outside,topvolon,all,all
2160-01-01,2.1112234971482198e-07,total,outside,topvolon,all,all
2180-01-01,1.0431392885327096e-06,total,outside,topvolon,all,all
2200-01-01,4.5239894974691145e-06,total,outside,topvolon,all,all
2020-01-01,0.0,aqueous,outside,topvolon,all,all
2040-01-01,0.0,aqueous,outside,topvolon,all,all
2060-01-01,0.0,aqueous,outside,topvolon,all,all
