CONJPOS,PRESSURE,SGAS,WELL,SWAT,DRAWDOWN,WELLMODEL,CONIPOS,CONKPOS,CONIDX,CONBPRES,DATE,DEPTH
30,300.0577087402344,0.0,R_A2,0.41279226541519165,0,STANDARD,22,13,13,300.0577087402344,2018-03-01,1663.12841796875
30,300.19329833984375,0.0,R_A2,0.4611681401729584,0,STANDARD,22,14,14,300.19329833984375,2018-03-01,1665.1241455078125
30,300.33538818359375,0.0,R_A2,0.635308563709259,0,STANDARD,22,15,15,300.33538818359375,2018-03-01,1667.1199951171875
30,300.4704895019531,0.0,R_A2,0.9162163138389587,0,STANDARD,22,16,16,300.4704895019531,2018-03-01,1669.11572265625
30,300.6069030761719,0.0,R_A2,0.8937466740608215,0,STANDARD,22,17,17,300.6069030761719,2018-03-01,1671.111572265625
30,300.73443603515625,0.0,R_A2,0.9368902444839478,0,STANDARD,22,18,18,300.73443603515625,2018-03-01,1672.9881591796875
29,300.7604064941406,0.0,R_A2,0.9506535530090332,0,STANDARD,22,18,19,300.7604064941406,2018-03-01,1674.229736328125
29,303.1554260253906,-4.18849719134473e-16,R_A2,1.0,0,STANDARD,22,27,20,303.1554260253906,2018-03-01,1676.1676025390625
29,303.2744445800781,-5.080575416908463e-17,R_A2,1.0,0,STANDARD,22,28,21,303.2744445800781,2018-03-01,1677.9368896484375
29,303.38970947265625,-1.7388368797269108e-17,R_A2,1.0,0,STANDARD,22,29,22,303.38970947265625,2018-03-01,1679.7061767578125
29,303.5058288574219,9.237199312659024e-19,R_A2,1.0,0,STANDARD,22,30,23,303.5058288574219,2018-03-01,1681.4754638671875
29,303.9718017578125,1.257505299609372e-19,R_A2,1.0,0,STANDARD,22,31,24,303.9718017578125,2018-03-01,1683.2447509765625
20,275.13201904296875,-4.0155391515647103e-16,R_A5,1.0,0,STANDARD,31,1,1,275.13201904296875,2018-04-28,1685.026611328125
20,275.3470764160156,-2.720739442101165e-16,R_A5,1.0,0,STANDARD,31,2,2,275.3470764160156,2018-04-28,1687.3070068359375
20,275.86505126953125,-2.928839423024888e-17,R_A5,1.0,0,STANDARD,31,3,3,275.86505126953125,2018-04-28,1689.5875244140625
20,275.77117919921875,-1.220677137386654e-14,R_A5,1.0,0,STANDARD,31,4,4,275.77117919921875,2018-04-28,1691.8680419921875
20,275.9858093261719,-4.5999276165453046e-14,R_A5,1.0,0,STANDARD,31,5,5,275.9858093261719,2018-04-28,1694.1485595703125
20,276.2010803222656,-4.3676400115957165e-14,R_A5,1.0,0,STANDARD,31,6,6,276.2010803222656,2018-04-28,1696.4290771484375
20,276.73468017578125,-4.016023760289658e-15,R_A5,1.0,0,STANDARD,31,7,7,276.73468017578125,2018-04-28,1698.70947265625
