CONIPOS,SGAS,CONJPOS,WELL,CONIDX,DATE,SWAT,PRESSURE,WELLMODEL,CONKPOS,CONBPRES,DRAWDOWN,DEPTH
22,0.0,30,R_A2,9,2018-03-01,0.1870289146900177,299.9584045410156,STANDARD,9,299.9584045410156,0,1655.44775390625
22,0.0,30,R_A2,10,2018-03-01,0.9045045375823975,300.18414306640625,STANDARD,10,300.18414306640625,0,1657.2418212890625
22,0.0,30,R_A2,11,2018-03-01,0.07913865149021149,300.3009033203125,STANDARD,11,300.3009033203125,0,1659.1368408203125
22,0.0,30,R_A2,12,2018-03-01,0.08012920618057251,300.45025634765625,STANDARD,12,300.45025634765625,0,1661.132568359375
22,0.0,30,R_A2,13,2018-03-01,0.4529890716075897,300.8612365722656,STANDARD,13,300.8612365722656,0,1663.12841796875
22,0.0,30,R_A2,14,2018-03-01,0.5041666626930237,301.0935363769531,STANDARD,14,301.0935363769531,0,1665.1241455078125
22,0.0,30,R_A2,15,2018-03-01,0.6905809044837952,301.2270202636719,STANDARD,15,301.2270202636719,0,1667.1199951171875
22,0.0,30,R_A2,16,2018-03-01,0.9649221897125244,301.3602600097656,STANDARD,16,301.3602600097656,0,1669.11572265625
22,0.0,30,R_A2,17,2018-03-01,0.9508008360862732,301.493896484375,STANDARD,17,301.493896484375,0,1671.111572265625
22,0.0,30,R_A2,18,2018-03-01,0.9831558465957642,301.61968994140625,STANDARD,18,301.61968994140625,0,1672.9881591796875
22,0.0,29,R_A2,19,2018-03-01,0.9968770742416382,301.6612854003906,STANDARD,18,301.6612854003906,0,1674.229736328125
22,-2.542363303134474e-16,29,R_A2,20,2018-03-01,1.0,302.87689208984375,STANDARD,27,302.87689208984375,0,1676.1676025390625
22,-5.052109815924798e-17,29,R_A2,21,2018-03-01,1.0,303.27294921875,STANDARD,28,303.27294921875,0,1677.9368896484375
22,-4.8918965118018525e-17,29,R_A2,22,2018-03-01,1.0,303.19781494140625,STANDARD,29,303.19781494140625,0,1679.7061767578125
22,-4.363210640733485e-17,29,R_A2,23,2018-03-01,1.0,302.7746887207031,STANDARD,30,302.7746887207031,0,1681.4754638671875
22,-5.3307770381265626e-17,29,R_A2,24,2018-03-01,1.0,302.24951171875,STANDARD,31,302.24951171875,0,1683.2447509765625
31,-7.1540059445144e-19,20,R_A5,1,2018-04-28,1.0,271.9405822753906,STANDARD,1,271.9405822753906,0,1685.026611328125
31,-5.548216682259397e-16,20,R_A5,2,2018-04-28,1.0,271.850830078125,STANDARD,2,271.850830078125,0,1687.3070068359375
31,-8.409378040449768e-16,20,R_A5,3,2018-04-28,1.0,272.0668029785156,STANDARD,3,272.0668029785156,0,1689.5875244140625
31,-1.0025825012045537e-15,20,R_A5,4,2018-04-28,1.0,272.2827453613281,STANDARD,4,272.2827453613281,0,1691.8680419921875
31,-3.0937346355893326e-16,20,R_A5,5,2018-04-28,1.0,272.4986267089844,STANDARD,5,272.4986267089844,0,1694.1485595703125
31,-1.5881844467612082e-15,20,R_A5,6,2018-04-28,1.0,272.7145690917969,STANDARD,6,272.7145690917969,0,1696.4290771484375
31,-2.148206976692628e-16,20,R_A5,7,2018-04-28,1.0,273.284912109375,STANDARD,7,273.284912109375,0,1698.70947265625
31,-9.664674515533537e-16,20,R_A5,8,2018-04-28,1.0,273.56890869140625,STANDARD,8,273.56890869140625,0,1700.989990234375
31,0.0,20,R_A5,9,2018-04-28,1.0,275.7159729003906,STANDARD,9,275.7159729003906,0,1703.2706298828125
31,-1.3464815200314728e-13,20,R_A5,10,2018-04-28,1.0,277.0503234863281,STANDARD,11,277.0503234863281,0,1707.6488037109375
31,-5.904220119539935e-14,20,R_A5,11,2018-04-28,1.0,277.2922668457031,STANDARD,12,277.2922668457031,0,1709.5638427734375
31,-1.6941720595853305e-11,21,R_A5,12,2018-04-28,1.0,275.9585266113281,STANDARD,12,275.9585266113281,0,1701.7845458984375
31,0.0,21,R_A5,13,2018-04-28,1.0,276.8253479003906,STANDARD,13,276.8253479003906,0,1703.735107421875
31,-1.80755462680926e-11,21,R_A5,14,2018-04-28,1.0,277.03466796875,STANDARD,14,277.03466796875,0,1705.6856689453125
31,-3.5577567367856e-12,21,R_A5,15,2018-04-28,1.0,277.23419189453125,STANDARD,15,277.23419189453125,0,1707.63623046875
31,-1.0607706119741822e-12,21,R_A5,16,2018-04-28,1.0,277.6250915527344,STANDARD,16,277.6250915527344,0,1709.5867919921875
