SGAS,CONIPOS,DRAWDOWN,SWAT,CONKPOS,CONJPOS,WELL,CONBPRES,WELLMODEL,PRESSURE,CONIDX,DATE,DEPTH
0.0,35,0,0.6481541991233826,29,49,R_A4,300.68072509765625,STANDARD,300.68072509765625,14,2018-01-01,1640.9005126953125
0.0,36,0,0.10135623812675476,29,49,R_A4,300.996337890625,STANDARD,300.996337890625,15,2018-01-01,1645.607421875
0.0,36,0,0.6481541991233826,28,49,R_A4,300.6029052734375,STANDARD,300.6029052734375,16,2018-01-01,1639.7398681640625
0.0,36,0,0.6481541991233826,28,48,R_A4,300.6090393066406,STANDARD,300.6090393066406,17,2018-01-01,1639.831298828125
0.0,37,0,0.6481541991233826,28,48,R_A4,301.0297546386719,STANDARD,301.0297546386719,18,2018-01-01,1646.10546875
0.0,38,0,0.6481541991233826,28,48,R_A4,301.48553466796875,STANDARD,301.48553466796875,19,2018-01-01,1652.9017333984375
0.0,38,0,0.3145354092121124,28,47,R_A4,302.1186218261719,STANDARD,302.1186218261719,20,2018-01-01,1662.341064453125
0.0,38,0,0.07380984723567963,27,47,R_A4,301.7366943359375,STANDARD,301.7366943359375,21,2018-01-01,1656.646728515625
0.0,31,0,1.0,1,20,R_A5,303.9732666015625,STANDARD,303.9732666015625,1,2018-01-01,1686.3897705078125
0.0,31,0,1.0,2,20,R_A5,304.1983642578125,STANDARD,304.1983642578125,2,2018-01-01,1688.7652587890625
0.0,31,0,1.0,3,20,R_A5,304.4234924316406,STANDARD,304.4234924316406,3,2018-01-01,1691.140625
0.0,31,0,1.0,4,20,R_A5,304.6485900878906,STANDARD,304.6485900878906,4,2018-01-01,1693.51611328125
0.0,31,0,1.0,5,20,R_A5,304.87371826171875,STANDARD,304.87371826171875,5,2018-01-01,1695.8916015625
0.0,31,0,1.0,6,20,R_A5,305.09881591796875,STANDARD,305.09881591796875,6,2018-01-01,1698.26708984375
0.0,31,0,1.0,7,20,R_A5,305.6297302246094,STANDARD,305.6297302246094,7,2018-01-01,1700.6424560546875
0.0,31,0,1.0,11,21,R_A5,304.97772216796875,STANDARD,304.97772216796875,8,2018-01-01,1696.988037109375
0.0,31,0,1.0,12,21,R_A5,305.1737060546875,STANDARD,305.1737060546875,9,2018-01-01,1699.0560302734375
