DRAWDOWN,SWAT,PRESSURE,CONKPOS,CONBPRES,CONIPOS,DATE,WELL,CONIDX,WELLMODEL,CONJPOS,DEPTH,SGAS
0,0.13320520520210266,297.791259765625,3,297.791259765625,22,2018-03-01,R_A2,3,STANDARD,30,1644.68310546875,0.0
0,0.11628906428813934,297.9116516113281,4,297.9116516113281,22,2018-03-01,R_A2,4,STANDARD,30,1646.4771728515625,0.0
0,0.11859104037284851,298.0318908691406,5,298.0318908691406,22,2018-03-01,R_A2,5,STANDARD,30,1648.2713623046875,0.0
0,0.3269489109516144,298.2518310546875,6,298.2518310546875,22,2018-03-01,R_A2,6,STANDARD,30,1650.0654296875,0.0
0,0.923163890838623,298.3731384277344,7,298.3731384277344,22,2018-03-01,R_A2,7,STANDARD,30,1651.859619140625,0.0
0,0.9014912843704224,298.4964599609375,8,298.4964599609375,22,2018-03-01,R_A2,8,STANDARD,30,1653.6536865234375,0.0
0,0.9539994597434998,298.78216552734375,9,298.78216552734375,22,2018-03-01,R_A2,9,STANDARD,30,1655.44775390625,0.0
0,0.9384742379188538,299.427978515625,10,299.427978515625,22,2018-03-01,R_A2,10,STANDARD,30,1657.2418212890625,0.0
0,0.08995689451694489,299.5966796875,11,299.5966796875,22,2018-03-01,R_A2,11,STANDARD,30,1659.1368408203125,0.0
0,0.10953138023614883,299.7304382324219,12,299.7304382324219,22,2018-03-01,R_A2,12,STANDARD,30,1661.132568359375,0.0
0,0.5076117515563965,300.0486755371094,13,300.0486755371094,22,2018-03-01,R_A2,13,STANDARD,30,1663.12841796875,0.0
0,0.6056677103042603,300.2059020996094,14,300.2059020996094,22,2018-03-01,R_A2,14,STANDARD,30,1665.1241455078125,0.0
0,0.7910824418067932,300.3385314941406,15,300.3385314941406,22,2018-03-01,R_A2,15,STANDARD,30,1667.1199951171875,0.0
0,0.9999907612800598,300.46844482421875,16,300.46844482421875,22,2018-03-01,R_A2,16,STANDARD,30,1669.11572265625,0.0
0,0.9949877858161926,300.6014709472656,17,300.6014709472656,22,2018-03-01,R_A2,17,STANDARD,30,1671.111572265625,0.0
0,1.0,300.9135437011719,18,300.9135437011719,22,2018-03-01,R_A2,18,STANDARD,30,1672.9881591796875,-6.82665646234426e-10
0,1.0,300.8611145019531,18,300.8611145019531,22,2018-03-01,R_A2,19,STANDARD,29,1674.229736328125,-2.2738499971808324e-09
0,1.0,302.8960876464844,27,302.8960876464844,22,2018-03-01,R_A2,20,STANDARD,29,1676.1676025390625,-3.3195896182275874e-16
0,1.0,302.7806396484375,28,302.7806396484375,22,2018-03-01,R_A2,21,STANDARD,29,1677.9368896484375,-3.2258892454155406e-16
0,1.0,302.16748046875,29,302.16748046875,22,2018-03-01,R_A2,22,STANDARD,29,1679.7061767578125,-4.156019830564632e-16
0,1.0,301.3717956542969,30,301.3717956542969,22,2018-03-01,R_A2,23,STANDARD,29,1681.4754638671875,-1.609204262897901e-11
0,1.0,302.12615966796875,31,302.12615966796875,22,2018-03-01,R_A2,24,STANDARD,29,1683.2447509765625,-8.097535052333115e-17
