WELLMODEL,CONJPOS,DEPTH,WELL,DATE,CONIPOS,SWAT,SGAS,PRESSURE,CONIDX,CONBPRES,DRAWDOWN,CONKPOS
STANDARD,42,1731.8310546875,R_A6,2018-01-01,17,1.0,0.0,308.5856018066406,22,308.5856018066406,0,28
STANDARD,42,1733.54296875,R_A6,2018-01-01,17,1.0,0.0,308.44207763671875,23,308.44207763671875,0,29
STANDARD,30,1640.001220703125,R_A2,2018-03-01,22,0.05257325991988182,0.0,297.79437255859375,1,297.79437255859375,0,1
STANDARD,30,1641.7952880859375,R_A2,2018-03-01,22,0.05514008551836014,0.0,297.9145812988281,2,297.9145812988281,0,2
STANDARD,30,1643.58935546875,R_A2,2018-03-01,22,0.057122405618429184,0.0,298.0347900390625,3,298.0347900390625,0,3
STANDARD,30,1645.383544921875,R_A2,2018-03-01,22,0.06167611852288246,0.0,298.155029296875,4,298.155029296875,0,4
STANDARD,30,1647.177490234375,R_A2,2018-03-01,22,0.06464547663927078,0.0,298.2752685546875,5,298.2752685546875,0,5
STANDARD,30,1648.9716796875,R_A2,2018-03-01,22,0.29909729957580566,0.0,298.4490966796875,6,298.4490966796875,0,6
STANDARD,30,1650.7657470703125,R_A2,2018-03-01,22,0.8851755857467651,0.0,298.5816955566406,7,298.5816955566406,0,7
STANDARD,30,1652.559814453125,R_A2,2018-03-01,22,0.8638418316841125,0.0,298.7253112792969,8,298.7253112792969,0,8
STANDARD,30,1654.3538818359375,R_A2,2018-03-01,22,0.8892241716384888,0.0,299.4216003417969,9,299.4216003417969,0,9
STANDARD,30,1656.14794921875,R_A2,2018-03-01,22,0.8852167725563049,0.0,300.3039855957031,10,300.3039855957031,0,10
STANDARD,30,1658.04150390625,R_A2,2018-03-01,22,0.06765882670879364,0.0,300.3029479980469,11,300.3029479980469,0,11
STANDARD,30,1660.03466796875,R_A2,2018-03-01,22,0.06997446715831757,0.0,300.4375305175781,12,300.4375305175781,0,12
STANDARD,30,1662.0277099609375,R_A2,2018-03-01,22,0.42064106464385986,0.0,300.588134765625,13,300.588134765625,0,13
STANDARD,30,1664.020751953125,R_A2,2018-03-01,22,0.4642171859741211,0.0,300.7229919433594,14,300.7229919433594,0,14
STANDARD,30,1666.0137939453125,R_A2,2018-03-01,22,0.5738798975944519,0.0,300.8627624511719,15,300.8627624511719,0,15
STANDARD,30,1668.0068359375,R_A2,2018-03-01,22,0.906864583492279,0.0,300.9976806640625,16,300.9976806640625,0,16
STANDARD,30,1669.9998779296875,R_A2,2018-03-01,22,0.8685755133628845,0.0,301.1327209472656,17,301.1327209472656,0,17
STANDARD,30,1671.9102783203125,R_A2,2018-03-01,22,0.9031973481178284,0.0,301.2614440917969,18,301.2614440917969,0,18
STANDARD,30,1673.11181640625,R_A2,2018-03-01,22,0.9260780215263367,0.0,301.3428649902344,19,301.3428649902344,0,19
STANDARD,30,1674.314208984375,R_A2,2018-03-01,22,0.11548449844121933,0.0,302.1630859375,20,302.1630859375,0,25
STANDARD,29,1675.260009765625,R_A2,2018-03-01,22,1.0,-6.995067719506309e-11,303.0182189941406,21,303.0182189941406,0,25
STANDARD,29,1677.0592041015625,R_A2,2018-03-01,22,1.0,-2.475027730778224e-15,303.0938415527344,22,303.0938415527344,0,26
STANDARD,29,1678.8583984375,R_A2,2018-03-01,22,1.0,-2.939286184236445e-12,303.0484313964844,23,303.0484313964844,0,27
STANDARD,29,1680.657470703125,R_A2,2018-03-01,22,1.0,-1.3873410753539872e-10,302.7306213378906,24,302.7306213378906,0,28
STANDARD,29,1682.4566650390625,R_A2,2018-03-01,22,0.9999984502792358,0.0,303.00909423828125,25,303.00909423828125,0,29
STANDARD,20,1685.194091796875,R_A5,2018-04-28,31,1.0,-1.03141339913293e-09,278.31744384765625,1,278.31744384765625,0,1
STANDARD,20,1687.3074951171875,R_A5,2018-04-28,31,1.0,-9.584603111179035e-10,278.5172119140625,2,278.5172119140625,0,2
STANDARD,20,1689.4210205078125,R_A5,2018-04-28,31,1.0,-9.882291651663877e-10,278.71685791015625,3,278.71685791015625,0,3
STANDARD,20,1691.5345458984375,R_A5,2018-04-28,31,1.0,-6.229692872672388e-10,278.916259765625,4,278.916259765625,0,4
