DATE,WELLMODEL,CONJPOS,DRAWDOWN,PRESSURE,CONIPOS,SWAT,WELL,CONIDX,CONKPOS,SGAS,CONBPRES,DEPTH
2018-04-28,STANDARD,21,0,282.7310791015625,31,1.0,R_A5,18,18,-1.3511370841601256e-13,282.7310791015625,1714.420166015625
2018-04-28,STANDARD,21,0,282.7823791503906,31,1.0,R_A5,19,19,0.0,282.7823791503906,1714.9610595703125
2018-04-28,STANDARD,21,0,283.5199890136719,31,1.0,R_A5,20,25,-5.897395066864139e-14,283.5199890136719,1716.25439453125
2018-04-28,STANDARD,21,0,283.78472900390625,31,1.0,R_A5,21,26,-4.01741458838905e-14,283.78472900390625,1718.44091796875
2018-04-28,STANDARD,21,0,294.6388244628906,31,1.0,R_A5,22,27,-1.8397914500889326e-21,294.6388244628906,1720.627197265625
2018-04-28,STANDARD,21,0,302.95062255859375,31,1.0,R_A5,23,28,-4.188202963059481e-23,302.95062255859375,1722.8135986328125
2018-04-28,STANDARD,21,0,306.22674560546875,31,1.0,R_A5,24,29,-7.188434848182447e-25,306.22674560546875,1725.0001220703125
2018-07-03,STANDARD,41,0,277.1868896484375,28,0.328130841255188,R_A3,1,1,0.0,277.1868896484375,1608.73876953125
2018-07-03,STANDARD,41,0,277.3092346191406,28,0.11214861273765564,R_A3,2,2,0.0,277.3092346191406,1610.767333984375
2018-07-03,STANDARD,41,0,277.4444580078125,28,0.11722356826066971,R_A3,3,3,0.0,277.4444580078125,1612.7958984375
2018-07-03,STANDARD,41,0,277.5796813964844,28,0.10185427218675613,R_A3,4,4,0.0,277.5796813964844,1614.824462890625
2018-07-03,STANDARD,41,0,277.0115051269531,29,0.16244490444660187,R_A3,5,4,0.0,277.0115051269531,1606.4261474609375
2018-07-03,STANDARD,41,0,277.23724365234375,29,0.8069854974746704,R_A3,6,5,0.0,277.23724365234375,1608.5003662109375
2018-07-03,STANDARD,41,0,277.30352783203125,29,0.6499033570289612,R_A3,7,6,0.0,277.30352783203125,1610.574462890625
2018-07-03,STANDARD,41,0,277.45867919921875,29,0.19473764300346375,R_A3,8,7,0.0,277.45867919921875,1612.648681640625
2018-07-03,STANDARD,41,0,277.5971984863281,29,0.19722780585289001,R_A3,9,8,0.0,277.5971984863281,1614.7227783203125
2018-07-03,STANDARD,41,0,277.84027099609375,29,0.793022871017456,R_A3,10,9,0.0,277.84027099609375,1616.796875
2018-07-03,STANDARD,41,0,279.770751953125,29,0.7944723963737488,R_A3,11,10,0.0,279.770751953125,1618.87109375
2018-07-03,STANDARD,41,0,297.13421630859375,29,0.0463082417845726,R_A3,12,11,0.0,297.13421630859375,1621.0321044921875
2018-07-03,STANDARD,41,0,297.2848205566406,29,0.05303439125418663,R_A3,13,12,0.0,297.2848205566406,1623.2799072265625
2018-07-03,STANDARD,41,0,297.43560791015625,29,0.3663104772567749,R_A3,14,13,0.0,297.43560791015625,1625.52783203125
2018-07-03,STANDARD,41,0,297.60369873046875,29,0.18505112826824188,R_A3,15,14,0.0,297.60369873046875,1627.7757568359375
2018-07-03,STANDARD,41,0,297.7519226074219,29,0.6016078591346741,R_A3,16,15,0.0,297.7519226074219,1630.0235595703125
2018-07-03,STANDARD,41,0,297.88372802734375,29,0.8000012040138245,R_A3,17,16,0.0,297.88372802734375,1631.999267578125
2018-07-03,STANDARD,41,0,287.1591491699219,29,0.29153454303741455,R_A3,18,25,0.0,287.1591491699219,1634.6241455078125
2018-07-03,STANDARD,41,0,287.392822265625,29,0.04203544184565544,R_A3,19,26,0.0,287.392822265625,1638.170654296875
2018-07-03,STANDARD,41,0,287.6298828125,29,0.04781324043869972,R_A3,20,27,0.0,287.6298828125,1641.717041015625
2018-07-03,STANDARD,41,0,287.8681335449219,29,0.24828654527664185,R_A3,21,28,0.0,287.8681335449219,1645.2635498046875
2018-07-03,STANDARD,41,0,288.10540771484375,29,0.059902943670749664,R_A3,22,29,0.0,288.10540771484375,1648.81005859375
2018-09-12,STANDARD,52,0,280.22564697265625,30,0.04840197041630745,R_A4,1,1,0.0,280.22564697265625,1632.4356689453125
2018-09-12,STANDARD,52,0,279.8937072753906,31,0.048268191516399384,R_A4,2,1,0.0,279.8937072753906,1627.15234375
2018-09-12,STANDARD,52,0,280.02935791015625,31,0.04968820884823799,R_A4,3,2,0.0,280.02935791015625,1629.1864013671875
2018-09-12,STANDARD,52,0,280.1650085449219,31,0.052022092044353485,R_A4,4,3,0.0,280.1650085449219,1631.220458984375
2018-09-12,STANDARD,52,0,280.3006591796875,31,0.05373994633555412,R_A4,5,4,0.0,280.3006591796875,1633.2545166015625
2018-09-12,STANDARD,52,0,280.2030944824219,32,0.05278529226779938,R_A4,6,4,0.0,280.2030944824219,1631.598876953125
2018-09-12,STANDARD,51,0,280.46368408203125,32,0.054238323122262955,R_A4,7,4,0.0,280.46368408203125,1636.1982421875
2018-09-12,STANDARD,51,0,280.5119323730469,33,0.056465692818164825,R_A4,8,4,0.0,280.5119323730469,1636.972412109375
2018-09-12,STANDARD,51,0,280.3897399902344,33,0.05263783410191536,R_A4,9,3,0.0,280.3897399902344,1635.1407470703125
2018-09-12,STANDARD,50,0,280.8471984863281,33,0.06124246492981911,R_A4,10,4,0.0,280.8471984863281,1642.5059814453125
2018-09-12,STANDARD,50,0,280.7088928222656,34,0.060958944261074066,R_A4,11,4,0.0,280.7088928222656,1640.8035888671875
2018-09-12,STANDARD,50,0,280.5843811035156,34,0.12726467847824097,R_A4,12,3,0.0,280.5843811035156,1638.9404296875
2018-09-12,STANDARD,50,0,280.5213317871094,35,0.13504987955093384,R_A4,13,3,0.0,280.5213317871094,1639.1312255859375
2018-09-12,STANDARD,49,0,276.6494140625,35,0.05306791141629219,R_A4,14,28,0.0,276.6494140625,1639.641845703125
2018-09-12,STANDARD,49,0,277.1510925292969,36,0.05817407742142677,R_A4,15,28,0.0,277.1510925292969,1644.04150390625
2018-09-12,STANDARD,48,0,277.05938720703125,36,0.09328729659318924,R_A4,16,28,0.0,277.05938720703125,1645.5672607421875
2018-09-12,STANDARD,48,0,277.72314453125,37,0.6583238244056702,R_A4,17,28,0.0,277.72314453125,1650.150634765625
2018-09-12,STANDARD,48,0,278.34124755859375,38,0.1863788217306137,R_A4,18,28,0.0,278.34124755859375,1653.918212890625
2018-09-12,STANDARD,48,0,277.9537048339844,38,0.05907318741083145,R_A4,19,27,0.0,277.9537048339844,1648.1583251953125
2018-09-12,STANDARD,47,0,278.2669982910156,38,0.0699889287352562,R_A4,20,27,0.0,278.2669982910156,1656.135986328125
2018-11-07,STANDARD,42,0,275.74200439453125,17,1.0,R_A6,1,1,-1.0248260437972431e-13,275.74200439453125,1694.746826171875
2018-11-07,STANDARD,42,0,275.88616943359375,17,1.0,R_A6,2,2,-6.006608784577677e-14,275.88616943359375,1696.2886962890625
2018-11-07,STANDARD,42,0,276.0278625488281,17,1.0,R_A6,3,3,-4.773514144184275e-14,276.0278625488281,1697.83056640625
2018-11-07,STANDARD,42,0,276.1665954589844,17,1.0,R_A6,4,4,-4.392767413382605e-14,276.1665954589844,1699.372314453125
2018-11-07,STANDARD,42,0,276.30377197265625,17,1.0,R_A6,5,5,-6.109975942076087e-14,276.30377197265625,1700.9141845703125
2018-11-07,STANDARD,42,0,276.4436950683594,17,1.0,R_A6,6,6,-2.874193721566498e-12,276.4436950683594,1702.4560546875
2018-11-07,STANDARD,42,0,276.2901611328125,17,1.0,R_A6,7,7,-5.317760121137383e-12,276.2901611328125,1703.9979248046875
2018-11-07,STANDARD,42,0,276.4363098144531,17,1.0,R_A6,8,8,-4.2782544000530276e-12,276.4363098144531,1705.539794921875
2018-11-07,STANDARD,42,0,276.8819274902344,17,1.0,R_A6,9,9,-1.907264087332508e-13,276.8819274902344,1707.08154296875
