SWAT,DRAWDOWN,DATE,CONJPOS,CONKPOS,CONIDX,CONBPRES,WELL,SGAS,DEPTH,PRESSURE,WELLMODEL,CONIPOS
1.0,0,2018-01-01,21,11,10,305.1854248046875,R_A5,0.0,1699.1796875,305.1854248046875,STANDARD,31
1.0,0,2018-01-01,21,12,11,305.3773193359375,R_A5,0.0,1701.2044677734375,305.3773193359375,STANDARD,31
1.0,0,2018-01-01,21,13,12,305.5811462402344,R_A5,0.0,1703.2291259765625,305.5811462402344,STANDARD,31
1.0,0,2018-01-01,21,14,13,305.7730407714844,R_A5,0.0,1705.2537841796875,305.7730407714844,STANDARD,31
1.0,0,2018-01-01,21,15,14,305.96490478515625,R_A5,0.0,1707.2784423828125,305.96490478515625,STANDARD,31
1.0,0,2018-01-01,21,16,15,306.30181884765625,R_A5,0.0,1709.3031005859375,306.30181884765625,STANDARD,31
1.0,0,2018-01-01,21,17,16,306.4936828613281,R_A5,0.0,1711.3277587890625,306.4936828613281,STANDARD,31
1.0,0,2018-01-01,21,18,17,306.642333984375,R_A5,0.0,1712.8961181640625,306.642333984375,STANDARD,31
1.0,0,2018-01-01,21,19,18,306.70751953125,R_A5,0.0,1713.583984375,306.70751953125,STANDARD,31
1.0,0,2018-01-01,21,26,19,306.67218017578125,R_A5,0.0,1714.868896484375,306.67218017578125,STANDARD,31
1.0,0,2018-01-01,21,27,20,306.8907470703125,R_A5,0.0,1717.175048828125,306.8907470703125,STANDARD,31
1.0,0,2018-01-01,21,28,21,307.4151306152344,R_A5,0.0,1719.481201171875,307.4151306152344,STANDARD,31
1.0,0,2018-01-01,21,29,22,307.6336975097656,R_A5,0.0,1721.7874755859375,307.6336975097656,STANDARD,31
1.0,0,2018-01-01,21,30,23,307.8522644042969,R_A5,0.0,1724.0936279296875,307.8522644042969,STANDARD,31
1.0,0,2018-01-01,42,1,1,305.0103759765625,R_A6,0.0,1694.1068115234375,305.0103759765625,STANDARD,17
1.0,0,2018-01-01,42,2,2,305.1552734375,R_A6,0.0,1695.6358642578125,305.1552734375,STANDARD,17
1.0,0,2018-01-01,42,3,3,305.3001708984375,R_A6,0.0,1697.1650390625,305.3001708984375,STANDARD,17
1.0,0,2018-01-01,42,4,4,305.445068359375,R_A6,0.0,1698.694091796875,305.445068359375,STANDARD,17
1.0,0,2018-01-01,42,5,5,305.5899963378906,R_A6,0.0,1700.22314453125,305.5899963378906,STANDARD,17
1.0,0,2018-01-01,42,6,6,305.7348937988281,R_A6,0.0,1701.752197265625,305.7348937988281,STANDARD,17
1.0,0,2018-01-01,42,7,7,305.58074951171875,R_A6,0.0,1703.2811279296875,305.58074951171875,STANDARD,17
1.0,0,2018-01-01,42,8,8,305.72564697265625,R_A6,0.0,1704.810302734375,305.72564697265625,STANDARD,17
1.0,0,2018-01-01,42,9,9,306.16961669921875,R_A6,0.0,1706.33935546875,306.16961669921875,STANDARD,17
1.0,0,2018-01-01,42,10,10,306.00872802734375,R_A6,0.0,1707.868408203125,306.00872802734375,STANDARD,17
1.0,0,2018-01-01,42,11,11,306.19183349609375,R_A6,0.0,1709.7991943359375,306.19183349609375,STANDARD,17
1.0,0,2018-01-01,42,12,12,306.41290283203125,R_A6,0.0,1712.1317138671875,306.41290283203125,STANDARD,17
1.0,0,2018-01-01,42,13,13,306.64593505859375,R_A6,0.0,1714.4642333984375,306.64593505859375,STANDARD,17
1.0,0,2018-01-01,42,14,14,306.86700439453125,R_A6,0.0,1716.796875,306.86700439453125,STANDARD,17
1.0,0,2018-01-01,42,15,15,307.08807373046875,R_A6,0.0,1719.1295166015625,307.08807373046875,STANDARD,17
1.0,0,2018-01-01,42,16,16,307.45416259765625,R_A6,0.0,1721.4620361328125,307.45416259765625,STANDARD,17
1.0,0,2018-01-01,42,17,17,307.67523193359375,R_A6,0.0,1723.7945556640625,307.67523193359375,STANDARD,17
1.0,0,2018-01-01,42,18,18,307.8059387207031,R_A6,0.0,1725.173583984375,307.8059387207031,STANDARD,17
1.0,0,2018-01-01,42,26,19,307.7497253417969,R_A6,0.0,1726.238037109375,307.7497253417969,STANDARD,17
1.0,0,2018-01-01,42,27,20,308.2169494628906,R_A6,0.0,1727.9412841796875,308.2169494628906,STANDARD,17
1.0,0,2018-01-01,42,28,21,308.37835693359375,R_A6,0.0,1729.64453125,308.37835693359375,STANDARD,17
1.0,0,2018-01-01,42,29,22,308.539794921875,R_A6,0.0,1731.3477783203125,308.539794921875,STANDARD,17
1.0,0,2018-01-01,42,30,23,308.39544677734375,R_A6,0.0,1733.0511474609375,308.39544677734375,STANDARD,17
