DEPTH,SWAT,PRESSURE,WELLMODEL,CONIPOS,CONIDX,CONBPRES,DRAWDOWN,DATE,CONJPOS,CONKPOS,SGAS,WELL
1633.5262451171875,1.0,291.9148254394531,STANDARD,29,17,291.9148254394531,0,2018-07-03,41,27,-1.8364078161782482e-13,R_A3
1637.1630859375,0.044111985713243484,286.0362854003906,STANDARD,29,18,286.0362854003906,0,2018-07-03,41,28,0.0,R_A3
1640.8001708984375,0.05285460129380226,286.27850341796875,STANDARD,29,19,286.27850341796875,0,2018-07-03,41,29,0.0,R_A3
1644.4371337890625,1.0,289.7132873535156,STANDARD,29,20,289.7132873535156,0,2018-07-03,41,30,-1.345184467288485e-11,R_A3
1648.0740966796875,0.0627024844288826,286.6033630371094,STANDARD,29,21,286.6033630371094,0,2018-07-03,41,31,0.0,R_A3
1631.1873779296875,0.05309826508164406,279.2861022949219,STANDARD,30,1,279.2861022949219,0,2018-09-12,52,1,0.0,R_A4
1627.4293212890625,0.04976014047861099,279.0888977050781,STANDARD,31,2,279.0888977050781,0,2018-09-12,52,1,0.0,R_A4
1629.4896240234375,0.0510416217148304,279.2262878417969,STANDARD,31,3,279.2262878417969,0,2018-09-12,52,2,0.0,R_A4
1631.5498046875,0.05355321243405342,279.36370849609375,STANDARD,31,4,279.36370849609375,0,2018-09-12,52,3,0.0,R_A4
1633.610107421875,0.058568838983774185,279.50115966796875,STANDARD,31,5,279.50115966796875,0,2018-09-12,52,4,0.0,R_A4
1632.3968505859375,0.057940758764743805,279.45965576171875,STANDARD,32,6,279.45965576171875,0,2018-09-12,52,4,0.0,R_A4
1635.880615234375,0.05844400078058243,279.63555908203125,STANDARD,32,7,279.63555908203125,0,2018-09-12,51,4,0.0,R_A4
1637.321044921875,0.06204507127404213,279.7669982910156,STANDARD,33,8,279.7669982910156,0,2018-09-12,51,4,0.0,R_A4
1635.474609375,0.05663385987281799,279.643798828125,STANDARD,33,9,279.643798828125,0,2018-09-12,51,3,0.0,R_A4
1642.1485595703125,0.1480267345905304,279.9955749511719,STANDARD,33,10,279.9955749511719,0,2018-09-12,50,4,0.0,R_A4
1641.132080078125,0.08195269107818604,279.9461669921875,STANDARD,34,11,279.9461669921875,0,2018-09-12,50,4,0.0,R_A4
1639.20703125,0.12318973988294601,279.81793212890625,STANDARD,34,12,279.81793212890625,0,2018-09-12,50,3,0.0,R_A4
1640.9061279296875,0.12477283179759979,280.00030517578125,STANDARD,35,13,280.00030517578125,0,2018-09-12,50,3,0.0,R_A4
1639.0426025390625,0.2296646684408188,279.87646484375,STANDARD,35,14,279.87646484375,0,2018-09-12,50,2,0.0,R_A4
1641.93212890625,0.23709827661514282,279.9377136230469,STANDARD,35,15,279.9377136230469,0,2018-09-12,49,2,0.0,R_A4
1642.357421875,0.12621019780635834,278.64190673828125,STANDARD,36,16,278.64190673828125,0,2018-09-12,49,30,0.0,R_A4
1639.6068115234375,0.05631811544299126,278.24853515625,STANDARD,36,17,278.24853515625,0,2018-09-12,48,30,0.0,R_A4
1646.7513427734375,0.23131108283996582,279.00506591796875,STANDARD,37,18,279.00506591796875,0,2018-09-12,48,30,0.0,R_A4
1653.461669921875,0.2745611369609833,279.7435302734375,STANDARD,38,19,279.7435302734375,0,2018-09-12,48,30,0.0,R_A4
1657.8184814453125,0.6902515888214111,279.68145751953125,STANDARD,38,20,279.68145751953125,0,2018-09-12,47,30,0.0,R_A4
1695.20263671875,1.0,262.926025390625,STANDARD,17,1,262.926025390625,0,2018-11-07,42,1,-7.807102145447294e-16,R_A6
1696.7510986328125,1.0,263.07275390625,STANDARD,17,2,263.07275390625,0,2018-11-07,42,2,-4.884202673313925e-16,R_A6
1698.299560546875,1.0,263.2193298339844,STANDARD,17,3,263.2193298339844,0,2018-11-07,42,3,-3.385724097864631e-16,R_A6
1699.84814453125,1.0,263.36505126953125,STANDARD,17,4,263.36505126953125,0,2018-11-07,42,4,-2.778294272075911e-16,R_A6
1701.3966064453125,1.0,263.5095520019531,STANDARD,17,5,263.5095520019531,0,2018-11-07,42,5,-8.605099825989451e-16,R_A6
1702.9451904296875,1.0,263.65631103515625,STANDARD,17,6,263.65631103515625,0,2018-11-07,42,6,-2.1455129407582825e-14,R_A6
1704.49365234375,1.0,263.502685546875,STANDARD,17,7,263.502685546875,0,2018-11-07,42,7,-4.0557472338236325e-14,R_A6
1706.042236328125,1.0,263.6505126953125,STANDARD,17,8,263.6505126953125,0,2018-11-07,42,8,-2.2088545727737274e-14,R_A6
1707.5906982421875,1.0,264.09625244140625,STANDARD,17,9,264.09625244140625,0,2018-11-07,42,9,-1.6538319353931398e-15,R_A6
1709.1392822265625,1.0,264.374755859375,STANDARD,17,10,264.374755859375,0,2018-11-07,42,10,-2.3072584560144063e-16,R_A6
1711.055419921875,1.0,284.14898681640625,STANDARD,17,11,284.14898681640625,0,2018-11-07,42,11,0.0,R_A6
