DEPTH,WELLMODEL,CONJPOS,PRESSURE,SWAT,CONBPRES,CONIPOS,DRAWDOWN,CONKPOS,WELL,DATE,SGAS,CONIDX
1691.8712158203125,STANDARD,20,282.3289794921875,1.0,282.3289794921875,31,0,4,R_A5,2018-04-28,-1.0194556310239022e-10,4
1694.264404296875,STANDARD,20,282.5560607910156,1.0,282.5560607910156,31,0,5,R_A5,2018-04-28,-9.976375975329077e-11,5
1696.6575927734375,STANDARD,20,282.7833251953125,1.0,282.7833251953125,31,0,6,R_A5,2018-04-28,-1.0311182463418334e-10,6
1699.05078125,STANDARD,20,283.3265380859375,1.0,283.3265380859375,31,0,7,R_A5,2018-04-28,-4.676726670857501e-13,7
1708.4658203125,STANDARD,20,283.4272766113281,1.0,283.4272766113281,31,0,11,R_A5,2018-04-28,-1.7270322541854122e-12,8
1710.5435791015625,STANDARD,20,283.7039489746094,1.0,283.7039489746094,31,0,12,R_A5,2018-04-28,-1.7513658709042423e-12,9
1712.6212158203125,STANDARD,20,283.9140930175781,1.0,283.9140930175781,31,0,13,R_A5,2018-04-28,-8.499553464475992e-14,10
1706.7178955078125,STANDARD,21,282.34136962890625,1.0,282.34136962890625,31,0,13,R_A5,2018-04-28,-5.789864681443602e-12,11
1708.5577392578125,STANDARD,21,282.5165710449219,1.0,282.5165710449219,31,0,14,R_A5,2018-04-28,-8.615054850058534e-12,12
1710.3975830078125,STANDARD,21,282.69244384765625,1.0,282.69244384765625,31,0,15,R_A5,2018-04-28,-2.514257465419112e-12,13
1712.2374267578125,STANDARD,21,283.06268310546875,1.0,283.06268310546875,31,0,16,R_A5,2018-04-28,-2.0297812909630952e-12,14
1714.0772705078125,STANDARD,21,283.2868957519531,1.0,283.2868957519531,31,0,17,R_A5,2018-04-28,-2.5726744953130654e-12,15
1715.51220703125,STANDARD,21,283.4307556152344,1.0,283.4307556152344,31,0,18,R_A5,2018-04-28,-1.9178233220257246e-12,16
1717.1708984375,STANDARD,21,288.68316650390625,1.0,288.68316650390625,31,0,27,R_A5,2018-04-28,-3.5557944392736185e-13,17
1719.4581298828125,STANDARD,21,288.8147277832031,1.0,288.8147277832031,31,0,28,R_A5,2018-04-28,-2.186139046482169e-13,18
1721.745361328125,STANDARD,21,289.3972473144531,1.0,289.3972473144531,31,0,29,R_A5,2018-04-28,-1.8988482390191325e-13,19
1724.03271484375,STANDARD,21,297.7427062988281,1.0,297.7427062988281,31,0,30,R_A5,2018-04-28,-3.711381542479413e-22,20
1726.3199462890625,STANDARD,21,304.7766418457031,1.0,304.7766418457031,31,0,31,R_A5,2018-04-28,3.555378113802461e-23,21
1608.7918701171875,STANDARD,41,280.5724792480469,0.09682481735944748,280.5724792480469,28,0,1,R_A3,2018-07-03,0.0,1
1610.8690185546875,STANDARD,41,280.7110900878906,0.07987914234399796,280.7110900878906,28,0,2,R_A3,2018-07-03,0.0,2
1612.9461669921875,STANDARD,41,280.8497009277344,0.08280052989721298,280.8497009277344,28,0,3,R_A3,2018-07-03,0.0,3
1615.0233154296875,STANDARD,41,280.9883117675781,0.14184613525867462,280.9883117675781,28,0,4,R_A3,2018-07-03,0.0,4
1617.1004638671875,STANDARD,41,281.1268615722656,0.2246418446302414,281.1268615722656,28,0,5,R_A3,2018-07-03,0.0,5
1607.539794921875,STANDARD,41,280.4398193359375,0.6509461402893066,280.4398193359375,29,0,5,R_A3,2018-07-03,0.0,6
1609.51025390625,STANDARD,41,280.5924377441406,0.23748347163200378,280.5924377441406,29,0,6,R_A3,2018-07-03,0.0,7
1611.4808349609375,STANDARD,41,280.72393798828125,0.19784517586231232,280.72393798828125,29,0,7,R_A3,2018-07-03,0.0,8
1613.4512939453125,STANDARD,41,280.85540771484375,0.200992614030838,280.85540771484375,29,0,8,R_A3,2018-07-03,0.0,9
1615.4217529296875,STANDARD,41,280.9835205078125,0.6499815583229065,280.9835205078125,29,0,9,R_A3,2018-07-03,0.0,10
1617.392333984375,STANDARD,41,281.5487365722656,0.7963109016418457,281.5487365722656,29,0,10,R_A3,2018-07-03,0.0,11
1619.614501953125,STANDARD,41,281.5902099609375,0.050216853618621826,281.5902099609375,29,0,11,R_A3,2018-07-03,0.0,12
1622.08837890625,STANDARD,41,281.7552795410156,0.0563792958855629,281.7552795410156,29,0,12,R_A3,2018-07-03,0.0,13
1624.562255859375,STANDARD,41,281.92083740234375,0.37212491035461426,281.92083740234375,29,0,13,R_A3,2018-07-03,0.0,14
1629.434326171875,STANDARD,41,282.6334228515625,0.6056709885597229,282.6334228515625,29,0,15,R_A3,2018-07-03,0.0,15
1631.1036376953125,STANDARD,41,282.8296203613281,0.8119068145751953,282.8296203613281,29,0,16,R_A3,2018-07-03,0.0,16
1633.425537109375,STANDARD,41,289.06884765625,0.7450963854789734,289.06884765625,29,0,27,R_A3,2018-07-03,0.0,17
1637.05322265625,STANDARD,41,282.4103698730469,0.048875920474529266,282.4103698730469,29,0,28,R_A3,2018-07-03,0.0,18
1640.6810302734375,STANDARD,41,282.6527404785156,0.07815156131982803,282.6527404785156,29,0,29,R_A3,2018-07-03,0.0,19
1644.308837890625,STANDARD,41,287.2353515625,0.8217087984085083,287.2353515625,29,0,30,R_A3,2018-07-03,0.0,20
1647.9365234375,STANDARD,41,282.7794189453125,0.10937585681676865,282.7794189453125,29,0,31,R_A3,2018-07-03,0.0,21
1629.779541015625,STANDARD,52,275.2110900878906,0.0513450913131237,275.2110900878906,30,0,1,R_A4,2018-09-12,0.0,1
1626.40869140625,STANDARD,52,275.11163330078125,0.049819741398096085,275.11163330078125,31,0,1,R_A4,2018-09-12,0.0,2
1628.435302734375,STANDARD,52,275.24664306640625,0.05158359184861183,275.24664306640625,31,0,2,R_A4,2018-09-12,0.0,3
1630.4619140625,STANDARD,52,275.3818359375,0.19431626796722412,275.3818359375,31,0,3,R_A4,2018-09-12,0.0,4
1632.488525390625,STANDARD,52,275.5168151855469,0.10991614311933517,275.5168151855469,31,0,4,R_A4,2018-09-12,0.0,5
1634.51513671875,STANDARD,52,275.70428466796875,0.8477048277854919,275.70428466796875,31,0,5,R_A4,2018-09-12,0.0,6
1634.5816650390625,STANDARD,52,275.7776794433594,0.32145801186561584,275.7776794433594,32,0,5,R_A4,2018-09-12,0.0,7
1632.7598876953125,STANDARD,52,275.6335144042969,0.05651375278830528,275.6335144042969,32,0,4,R_A4,2018-09-12,0.0,8
1635.78271484375,STANDARD,51,275.6958312988281,0.06111397594213486,275.6958312988281,32,0,4,R_A4,2018-09-12,0.0,9
1634.010498046875,STANDARD,51,275.5777893066406,0.10014501214027405,275.5777893066406,32,0,3,R_A4,2018-09-12,0.0,10
1635.705810546875,STANDARD,51,275.8020324707031,0.17399077117443085,275.8020324707031,33,0,3,R_A4,2018-09-12,0.0,11
1637.545654296875,STANDARD,51,275.9244689941406,0.06253473460674286,275.9244689941406,33,0,4,R_A4,2018-09-12,0.0,12
1641.4090576171875,STANDARD,50,275.9783020019531,0.06426304578781128,275.9783020019531,33,0,4,R_A4,2018-09-12,0.0,13
1640.471435546875,STANDARD,50,276.0911865234375,0.06295700371265411,276.0911865234375,34,0,4,R_A4,2018-09-12,0.0,14
