SGAS,CONIDX,WELL,WELLMODEL,CONBPRES,CONJPOS,SWAT,CONIPOS,DEPTH,PRESSURE,CONKPOS,DRAWDOWN,DATE
0.0,10,R_A2,STANDARD,300.6806640625,30,0.9437211751937866,22,1659.8023681640625,300.6806640625,10,0,2018-03-01
0.0,11,R_A2,STANDARD,299.9799499511719,30,0.0939575806260109,22,1661.7392578125,299.9799499511719,11,0,2018-03-01
0.0,12,R_A2,STANDARD,300.0906066894531,30,0.10329043120145798,22,1663.723876953125,300.0906066894531,12,0,2018-03-01
0.0,13,R_A2,STANDARD,300.29644775390625,30,0.5025376081466675,22,1665.7083740234375,300.29644775390625,13,0,2018-03-01
0.0,14,R_A2,STANDARD,300.4358215332031,30,0.5773212909698486,22,1667.6929931640625,300.4358215332031,14,0,2018-03-01
0.0,15,R_A2,STANDARD,300.5862731933594,30,0.7887612581253052,22,1669.6776123046875,300.5862731933594,15,0,2018-03-01
1.6175019657005407e-10,16,R_A2,STANDARD,300.7329406738281,30,1.0,22,1671.6622314453125,300.7329406738281,16,0,2018-03-01
0.0,17,R_A2,STANDARD,300.87774658203125,30,0.9981234073638916,22,1673.6468505859375,300.87774658203125,17,0,2018-03-01
0.0,18,R_A2,STANDARD,300.3123474121094,29,0.954669177532196,22,1667.8887939453125,300.3123474121094,17,0,2018-03-01
0.0,19,R_A2,STANDARD,300.4508361816406,29,0.9544211626052856,22,1669.9537353515625,300.4508361816406,18,0,2018-03-01
0.0,20,R_A2,STANDARD,300.5456237792969,29,0.9889559745788574,22,1671.3668212890625,300.5456237792969,19,0,2018-03-01
-4.6742887845685474e-17,21,R_A2,STANDARD,302.6317138671875,29,1.0,22,1672.6827392578125,302.6317138671875,27,0,2018-03-01
-3.099157275997567e-18,22,R_A2,STANDARD,302.8033752441406,29,1.0,22,1674.55322265625,302.8033752441406,28,0,2018-03-01
-9.42152617240881e-19,23,R_A2,STANDARD,303.2910461425781,29,1.0,22,1676.423828125,303.2910461425781,29,0,2018-03-01
